gene,age,caste,Dataset S5: A list of honey bee OGS3.2 genes highlighting taxonomic status and caste expression status.,,,,,
GB44202,Hymenoptera,NA,,,,,,
GB44203,Insecta,NA,,,,,,
GB44204,Insecta,NA,,,,,,
GB44205,Insecta,NDEG,,,,,,
GB44206,Insecta,NA,,,,,,
GB44207,Insecta,NA,,,,,,
GB44208,Insecta,NA,,,,,,
GB44209,Insecta,Q,,,,,,
GB44210,Insecta,NDEG,,,,,,
GB44211,Insecta,NA,,,,,,
GB44213,Insecta,NA,,,,,,
GB44215,NA,NA,,,,,,
GB44216,Insecta,NA,,,,,,
GB44218,Insecta,NDEG,,,,,,
GB44219,Hymenoptera,NA,,,,,,
GB44220,Insecta,NDEG,,,,,,
GB44221,Insecta,NA,,,,,,
GB44222,Insecta,NDEG,,,,,,
GB44223,Insecta,NA,,,,,,
GB44224,Hymenoptera,W,,,,,,
GB44225,Insecta,Q,,,,,,
GB44228,NA,NA,,,,,,
GB44229,Insecta,NA,,,,,,
GB44230,Insecta,NA,,,,,,
GB44232,Insecta,NA,,,,,,
GB44233,Insecta,NA,,,,,,
GB44237,Insecta,NDEG,,,,,,
GB44245,NA,NA,,,,,,
GB44247,Insecta,NA,,,,,,
GB44248,Hymenoptera,NA,,,,,,
GB44250,Hymenoptera,NA,,,,,,
GB44251,Insecta,NA,,,,,,
GB44252,Insecta,NA,,,,,,
GB44253,Insecta,NA,,,,,,
GB44254,Insecta,NA,,,,,,
GB44255,NA,NA,,,,,,
GB44257,Insecta,NA,,,,,,
GB44259,Insecta,NA,,,,,,
GB44260,NA,NA,,,,,,
GB44261,Hymenoptera,NA,,,,,,
GB44262,Insecta,Q,,,,,,
GB44263,Insecta,NA,,,,,,
GB44264,NA,NA,,,,,,
GB44265,NA,NA,,,,,,
GB44267,NA,NA,,,,,,
GB44269,NA,NA,,,,,,
GB44271,Insecta,NA,,,,,,
GB44276,Insecta,NA,,,,,,
GB44277,NA,NA,,,,,,
GB44279,Insecta,NA,,,,,,
GB44280,Insecta,NA,,,,,,
GB44281,Insecta,NA,,,,,,
GB44283,Insecta,NA,,,,,,
GB44284,NA,NA,,,,,,
GB44285,Insecta,NA,,,,,,
GB44287,Insecta,NA,,,,,,
GB44288,Insecta,NA,,,,,,
GB44289,Insecta,NA,,,,,,
GB44291,Insecta,NA,,,,,,
GB44292,Insecta,NA,,,,,,
GB44293,Insecta,NA,,,,,,
GB44294,Insecta,NA,,,,,,
GB44295,Insecta,NA,,,,,,
GB44296,Insecta,NA,,,,,,
GB44297,Insecta,NA,,,,,,
GB44298,Insecta,Q,,,,,,
GB44299,Insecta,NDEG,,,,,,
GB44300,Insecta,NA,,,,,,
GB44301,NA,NA,,,,,,
GB44302,Hymenoptera,NA,,,,,,
GB44303,Insecta,NA,,,,,,
GB44304,Insecta,NA,,,,,,
GB44305,Hymenoptera,NA,,,,,,
GB44306,Insecta,NA,,,,,,
GB44307,Insecta,NDEG,,,,,,
GB44308,NA,NA,,,,,,
GB44310,Hymenoptera,NA,,,,,,
GB44311,Insecta,NDEG,,,,,,
GB44312,Insecta,NA,,,,,,
GB44313,Insecta,NDEG,,,,,,
GB44315,Insecta,NA,,,,,,
GB44316,Insecta,NA,,,,,,
GB44317,Insecta,NA,,,,,,
GB44318,Insecta,NA,,,,,,
GB44319,Insecta,NA,,,,,,
GB44321,Insecta,NA,,,,,,
GB44325,Insecta,NA,,,,,,
GB44327,Insecta,NA,,,,,,
GB44328,Insecta,NA,,,,,,
GB44329,Insecta,NA,,,,,,
GB44330,Insecta,NA,,,,,,
GB44331,Insecta,NA,,,,,,
GB44332,NA,NA,,,,,,
GB44333,Insecta,NA,,,,,,
GB44334,Insecta,NDEG,,,,,,
GB44336,Insecta,NA,,,,,,
GB44337,Insecta,NA,,,,,,
GB44338,Insecta,NA,,,,,,
GB44339,Insecta,NA,,,,,,
GB44340,Insecta,NA,,,,,,
GB44341,Insecta,NA,,,,,,
GB44342,Hymenoptera,NA,,,,,,
GB44343,Hymenoptera,NA,,,,,,
GB44344,Insecta,NA,,,,,,
GB44345,Insecta,NA,,,,,,
GB44346,Insecta,NA,,,,,,
GB44347,Insecta,NA,,,,,,
GB44349,Insecta,NA,,,,,,
GB44350,Insecta,NA,,,,,,
GB44351,Insecta,NA,,,,,,
GB44352,Insecta,NA,,,,,,
GB44353,Insecta,NDEG,,,,,,
GB44354,Insecta,NA,,,,,,
GB44355,Insecta,NA,,,,,,
GB44356,Insecta,NA,,,,,,
GB44358,Insecta,NA,,,,,,
GB44359,Insecta,NA,,,,,,
GB44360,Insecta,NA,,,,,,
GB44361,Insecta,NA,,,,,,
GB44362,Hymenoptera,NA,,,,,,
GB44363,Insecta,NA,,,,,,
GB44364,NA,NA,,,,,,
GB44365,Insecta,NA,,,,,,
GB44366,Insecta,NDEG,,,,,,
GB44367,Insecta,NA,,,,,,
GB44368,Insecta,NDEG,,,,,,
GB44369,Insecta,NA,,,,,,
GB44370,Insecta,NA,,,,,,
GB44371,Insecta,NA,,,,,,
GB44373,Insecta,NA,,,,,,
GB44374,Insecta,NA,,,,,,
GB44377,NA,NA,,,,,,
GB44378,NA,NA,,,,,,
GB44379,NA,NA,,,,,,
GB44380,NA,NA,,,,,,
GB44381,NA,NA,,,,,,
GB44383,Insecta,NA,,,,,,
GB44384,NA,NA,,,,,,
GB44385,Insecta,NA,,,,,,
GB44386,NA,NA,,,,,,
GB44387,Insecta,NA,,,,,,
GB44388,NA,NA,,,,,,
GB44394,NA,NA,,,,,,
GB44396,Insecta,NDEG,,,,,,
GB44397,Insecta,NA,,,,,,
GB44398,Insecta,NDEG,,,,,,
GB44399,Insecta,NA,,,,,,
GB44400,Insecta,NA,,,,,,
GB44401,NA,NA,,,,,,
GB44402,Insecta,NA,,,,,,
GB44403,NA,NA,,,,,,
GB44404,Insecta,NDEG,,,,,,
GB44405,Apis,NA,,,,,,
GB44407,NA,NA,,,,,,
GB44408,NA,NA,,,,,,
GB44410,Insecta,NA,,,,,,
GB44411,Insecta,NA,,,,,,
GB44412,Insecta,NA,,,,,,
GB44413,Insecta,NA,,,,,,
GB44414,Insecta,NA,,,,,,
GB44415,Insecta,NA,,,,,,
GB44416,Insecta,NA,,,,,,
GB44417,Insecta,NA,,,,,,
GB44418,Insecta,NA,,,,,,
GB44419,Insecta,NDEG,,,,,,
GB44420,Insecta,NDEG,,,,,,
GB44421,Insecta,NA,,,,,,
GB44422,Insecta,NDEG,,,,,,
GB44423,Insecta,NA,,,,,,
GB44424,Insecta,NDEG,,,,,,
GB44425,Insecta,NA,,,,,,
GB44426,Insecta,NDEG,,,,,,
GB44427,Hymenoptera,NA,,,,,,
GB44428,Insecta,NA,,,,,,
GB44429,Insecta,NDEG,,,,,,
GB44430,Insecta,NDEG,,,,,,
GB44431,Insecta,NDEG,,,,,,
GB44432,Insecta,NA,,,,,,
GB44433,Insecta,NA,,,,,,
GB44434,Insecta,NA,,,,,,
GB44435,Apoidea,NA,,,,,,
GB44436,Insecta,NA,,,,,,
GB44438,Hymenoptera,NA,,,,,,
GB44439,Insecta,NDEG,,,,,,
GB44440,Insecta,NA,,,,,,
GB44441,NA,NA,,,,,,
GB44442,Insecta,NA,,,,,,
GB44443,Insecta,NA,,,,,,
GB44444,Insecta,NDEG,,,,,,
GB44445,Insecta,NA,,,,,,
GB44446,NA,NA,,,,,,
GB44447,NA,NA,,,,,,
GB44448,Insecta,NA,,,,,,
GB44449,Insecta,NDEG,,,,,,
GB44450,Insecta,NA,,,,,,
GB44451,Hymenoptera,NA,,,,,,
GB44452,Insecta,NA,,,,,,
GB44453,Insecta,NA,,,,,,
GB44455,Insecta,NA,,,,,,
GB44456,NA,NA,,,,,,
GB44457,Insecta,NDEG,,,,,,
GB44458,NA,NA,,,,,,
GB44459,NA,NA,,,,,,
GB44460,Insecta,NA,,,,,,
GB44461,Insecta,NA,,,,,,
GB44462,Insecta,NA,,,,,,
GB44464,Insecta,NDEG,,,,,,
GB44466,NA,NA,,,,,,
GB44467,Insecta,NA,,,,,,
GB44469,Insecta,NA,,,,,,
GB44470,NA,NA,,,,,,
GB44471,NA,NA,,,,,,
GB44472,Insecta,NA,,,,,,
GB44476,NA,NA,,,,,,
GB44477,NA,NA,,,,,,
GB44478,Hymenoptera,NA,,,,,,
GB44479,Hymenoptera,NA,,,,,,
GB44481,NA,NA,,,,,,
GB44482,Insecta,W,,,,,,
GB44483,Insecta,NA,,,,,,
GB44484,Insecta,NA,,,,,,
GB44485,Insecta,NA,,,,,,
GB44486,Insecta,NA,,,,,,
GB44487,NA,NA,,,,,,
GB44488,NA,NA,,,,,,
GB44489,NA,NA,,,,,,
GB44490,Insecta,NDEG,,,,,,
GB44491,Insecta,NA,,,,,,
GB44492,Insecta,NDEG,,,,,,
GB44493,Insecta,NDEG,,,,,,
GB44494,Insecta,NA,,,,,,
GB44495,Insecta,NA,,,,,,
GB44496,Insecta,NA,,,,,,
GB44498,Insecta,NA,,,,,,
GB44499,Insecta,NA,,,,,,
GB44500,Hymenoptera,NA,,,,,,
GB44501,Insecta,NDEG,,,,,,
GB44502,Hymenoptera,NA,,,,,,
GB44503,Hymenoptera,NA,,,,,,
GB44504,Hymenoptera,NA,,,,,,
GB44505,Insecta,NA,,,,,,
GB44506,Insecta,NA,,,,,,
GB44507,Insecta,NA,,,,,,
GB44509,Insecta,NA,,,,,,
GB44510,Insecta,NA,,,,,,
GB44511,Insecta,NA,,,,,,
GB44512,Insecta,NA,,,,,,
GB44513,Insecta,NA,,,,,,
GB44514,Insecta,NA,,,,,,
GB44515,Insecta,NA,,,,,,
GB44516,Insecta,NA,,,,,,
GB44517,Insecta,NA,,,,,,
GB44518,Insecta,NDEG,,,,,,
GB44519,Insecta,NA,,,,,,
GB44520,Insecta,NA,,,,,,
GB44521,Insecta,NA,,,,,,
GB44523,Insecta,NA,,,,,,
GB44524,Insecta,NA,,,,,,
GB44526,Insecta,NA,,,,,,
GB44527,Insecta,NA,,,,,,
GB44528,NA,NA,,,,,,
GB44529,NA,NA,,,,,,
GB44530,Insecta,NA,,,,,,
GB44531,Insecta,NA,,,,,,
GB44532,Insecta,NA,,,,,,
GB44533,Insecta,W,,,,,,
GB44534,Insecta,NA,,,,,,
GB44535,Insecta,NA,,,,,,
GB44536,Insecta,NA,,,,,,
GB44537,Insecta,NDEG,,,,,,
GB44538,Insecta,NA,,,,,,
GB44539,Insecta,NA,,,,,,
GB44540,Insecta,NA,,,,,,
GB44541,Insecta,NDEG,,,,,,
GB44542,Hymenoptera,NA,,,,,,
GB44543,Insecta,NA,,,,,,
GB44544,Insecta,NA,,,,,,
GB44546,NA,NA,,,,,,
GB44547,Hymenoptera,NA,,,,,,
GB44548,Insecta,NDEG,,,,,,
GB44549,Insecta,W,,,,,,
GB44550,Insecta,NA,,,,,,
GB44551,Insecta,NA,,,,,,
GB44552,Insecta,NA,,,,,,
GB44553,Insecta,NA,,,,,,
GB44554,Insecta,NA,,,,,,
GB44555,Insecta,NA,,,,,,
GB44556,Insecta,NA,,,,,,
GB44557,Insecta,NA,,,,,,
GB44558,Insecta,NA,,,,,,
GB44559,Insecta,NA,,,,,,
GB44560,Hymenoptera,W,,,,,,
GB44561,Hymenoptera,NA,,,,,,
GB44563,NA,NA,,,,,,
GB44564,Insecta,NA,,,,,,
GB44566,Hymenoptera,NA,,,,,,
GB44567,Insecta,NA,,,,,,
GB44570,Insecta,NDEG,,,,,,
GB44572,Insecta,NA,,,,,,
GB44573,Insecta,NDEG,,,,,,
GB44574,Insecta,NA,,,,,,
GB44575,Insecta,NA,,,,,,
GB44576,Insecta,NDEG,,,,,,
GB44577,Insecta,NA,,,,,,
GB44578,Hymenoptera,NA,,,,,,
GB44579,Insecta,NA,,,,,,
GB44580,Insecta,NDEG,,,,,,
GB44581,Insecta,NDEG,,,,,,
GB44582,Insecta,NA,,,,,,
GB44583,Insecta,NA,,,,,,
GB44585,Insecta,NA,,,,,,
GB44586,Insecta,NA,,,,,,
GB44587,Insecta,NA,,,,,,
GB44588,Insecta,NA,,,,,,
GB44589,NA,NA,,,,,,
GB44590,Hymenoptera,NA,,,,,,
GB44592,Insecta,NA,,,,,,
GB44594,Insecta,NA,,,,,,
GB44595,Insecta,NA,,,,,,
GB44596,Insecta,NA,,,,,,
GB44597,Insecta,NA,,,,,,
GB44598,Insecta,NA,,,,,,
GB44600,Insecta,NA,,,,,,
GB44601,Insecta,NA,,,,,,
GB44602,Hymenoptera,NA,,,,,,
GB44603,NA,NA,,,,,,
GB44604,Hymenoptera,NA,,,,,,
GB44606,Insecta,NA,,,,,,
GB44607,Apoidea,NA,,,,,,
GB44608,Insecta,NA,,,,,,
GB44609,Insecta,NA,,,,,,
GB44611,Insecta,NA,,,,,,
GB44612,Insecta,NA,,,,,,
GB44613,NA,NA,,,,,,
GB44614,Insecta,NA,,,,,,
GB44615,Insecta,NDEG,,,,,,
GB44616,Insecta,NA,,,,,,
GB44618,NA,NA,,,,,,
GB44620,NA,NA,,,,,,
GB44621,Insecta,NDEG,,,,,,
GB44623,Insecta,NA,,,,,,
GB44624,Insecta,NA,,,,,,
GB44626,Insecta,NA,,,,,,
GB44627,NA,NA,,,,,,
GB44628,Insecta,NA,,,,,,
GB44629,Insecta,NA,,,,,,
GB44630,NA,NA,,,,,,
GB44631,Insecta,NA,,,,,,
GB44632,NA,NA,,,,,,
GB44633,Hymenoptera,NA,,,,,,
GB44634,Insecta,NA,,,,,,
GB44635,NA,NA,,,,,,
GB44636,Insecta,NA,,,,,,
GB44637,NA,NA,,,,,,
GB44638,Insecta,NA,,,,,,
GB44639,Hymenoptera,NA,,,,,,
GB44640,Insecta,NA,,,,,,
GB44641,Insecta,NA,,,,,,
GB44642,Insecta,NA,,,,,,
GB44643,Insecta,NA,,,,,,
GB44645,Hymenoptera,NA,,,,,,
GB44646,Insecta,NA,,,,,,
GB44647,Insecta,NA,,,,,,
GB44648,Insecta,NDEG,,,,,,
GB44649,Insecta,NA,,,,,,
GB44650,Insecta,W,,,,,,
GB44651,Insecta,NA,,,,,,
GB44653,Insecta,NA,,,,,,
GB44654,Insecta,NA,,,,,,
GB44656,Insecta,NA,,,,,,
GB44659,Insecta,NA,,,,,,
GB44660,Insecta,NA,,,,,,
GB44661,Insecta,NA,,,,,,
GB44662,Insecta,NA,,,,,,
GB44663,Insecta,NA,,,,,,
GB44664,NA,NA,,,,,,
GB44665,NA,NA,,,,,,
GB44668,NA,NA,,,,,,
GB44670,Insecta,NA,,,,,,
GB44671,Insecta,NA,,,,,,
GB44672,Insecta,NA,,,,,,
GB44673,Insecta,NA,,,,,,
GB44674,Insecta,NA,,,,,,
GB44676,Insecta,NA,,,,,,
GB44677,Insecta,NA,,,,,,
GB44678,Insecta,NA,,,,,,
GB44679,Insecta,NA,,,,,,
GB44680,Insecta,NA,,,,,,
GB44681,Insecta,NDEG,,,,,,
GB44682,Insecta,NA,,,,,,
GB44683,Insecta,NA,,,,,,
GB44684,Insecta,NA,,,,,,
GB44685,Insecta,NA,,,,,,
GB44686,Insecta,NA,,,,,,
GB44687,Insecta,NA,,,,,,
GB44688,Insecta,NA,,,,,,
GB44689,Insecta,NA,,,,,,
GB44690,Insecta,NA,,,,,,
GB44692,Insecta,NA,,,,,,
GB44693,Insecta,NDEG,,,,,,
GB44694,Insecta,NA,,,,,,
GB44695,Insecta,NDEG,,,,,,
GB44697,Insecta,NA,,,,,,
GB44698,Hymenoptera,NA,,,,,,
GB44699,Insecta,NA,,,,,,
GB44700,Insecta,NA,,,,,,
GB44701,Insecta,NA,,,,,,
GB44702,Insecta,NA,,,,,,
GB44703,Insecta,NDEG,,,,,,
GB44704,Insecta,NDEG,,,,,,
GB44705,Insecta,NA,,,,,,
GB44706,NA,NA,,,,,,
GB44707,Insecta,NA,,,,,,
GB44708,Hymenoptera,NA,,,,,,
GB44709,Hymenoptera,NA,,,,,,
GB44710,Insecta,NA,,,,,,
GB44711,Insecta,NA,,,,,,
GB44712,Insecta,NA,,,,,,
GB44713,NA,NA,,,,,,
GB44714,Apoidea,NA,,,,,,
GB44717,NA,NA,,,,,,
GB44718,Insecta,NA,,,,,,
GB44721,Insecta,NA,,,,,,
GB44722,Apoidea,NA,,,,,,
GB44723,Insecta,NA,,,,,,
GB44725,Hymenoptera,NA,,,,,,
GB44726,Insecta,NDEG,,,,,,
GB44727,NA,NA,,,,,,
GB44728,NA,NA,,,,,,
GB44730,NA,NA,,,,,,
GB44731,Insecta,NA,,,,,,
GB44732,Insecta,NA,,,,,,
GB44734,Insecta,NA,,,,,,
GB44735,Hymenoptera,NDEG,,,,,,
GB44738,NA,NA,,,,,,
GB44739,Insecta,NA,,,,,,
GB44740,Hymenoptera,NA,,,,,,
GB44742,Insecta,NA,,,,,,
GB44743,Insecta,NA,,,,,,
GB44744,Insecta,NA,,,,,,
GB44745,Insecta,NA,,,,,,
GB44746,Insecta,NA,,,,,,
GB44747,Insecta,NA,,,,,,
GB44749,Insecta,NDEG,,,,,,
GB44751,Insecta,NA,,,,,,
GB44753,Insecta,NA,,,,,,
GB44754,NA,NA,,,,,,
GB44755,Insecta,NA,,,,,,
GB44756,Insecta,NA,,,,,,
GB44757,Insecta,NDEG,,,,,,
GB44758,Insecta,NA,,,,,,
GB44759,Insecta,NA,,,,,,
GB44760,Insecta,NA,,,,,,
GB44761,Insecta,NA,,,,,,
GB44762,Insecta,NA,,,,,,
GB44763,Insecta,NA,,,,,,
GB44764,Insecta,NDEG,,,,,,
GB44765,Insecta,NA,,,,,,
GB44766,Insecta,NA,,,,,,
GB44768,Insecta,NA,,,,,,
GB44769,Insecta,NA,,,,,,
GB44770,Insecta,NA,,,,,,
GB44771,Insecta,NA,,,,,,
GB44772,Insecta,NA,,,,,,
GB44773,Insecta,NA,,,,,,
GB44774,Insecta,NDEG,,,,,,
GB44775,Insecta,NA,,,,,,
GB44776,Insecta,NA,,,,,,
GB44777,Insecta,NA,,,,,,
GB44779,Insecta,NA,,,,,,
GB44780,Insecta,NA,,,,,,
GB44781,Insecta,NA,,,,,,
GB44782,Insecta,NA,,,,,,
GB44783,Insecta,NDEG,,,,,,
GB44785,NA,NA,,,,,,
GB44786,Insecta,NA,,,,,,
GB44787,Insecta,NA,,,,,,
GB44789,Insecta,NA,,,,,,
GB44791,Insecta,NA,,,,,,
GB44792,Insecta,NA,,,,,,
GB44793,Hymenoptera,NA,,,,,,
GB44795,NA,NA,,,,,,
GB44796,Insecta,NA,,,,,,
GB44797,NA,NA,,,,,,
GB44798,Insecta,NDEG,,,,,,
GB44799,Insecta,NA,,,,,,
GB44800,Insecta,NA,,,,,,
GB44802,Hymenoptera,NA,,,,,,
GB44803,Insecta,Q,,,,,,
GB44804,Insecta,NA,,,,,,
GB44805,NA,NA,,,,,,
GB44808,Insecta,NA,,,,,,
GB44810,Insecta,NA,,,,,,
GB44811,Insecta,NA,,,,,,
GB44812,NA,NA,,,,,,
GB44826,Insecta,NA,,,,,,
GB44828,Insecta,NA,,,,,,
GB44829,Insecta,NDEG,,,,,,
GB44830,Insecta,NA,,,,,,
GB44831,Insecta,NA,,,,,,
GB44832,Insecta,NA,,,,,,
GB44834,NA,NA,,,,,,
GB44835,NA,NA,,,,,,
GB44836,Insecta,NA,,,,,,
GB44837,Hymenoptera,NA,,,,,,
GB44838,Insecta,NA,,,,,,
GB44841,Insecta,NDEG,,,,,,
GB44842,Insecta,NDEG,,,,,,
GB44845,NA,NA,,,,,,
GB44847,Hymenoptera,W,,,,,,
GB44848,Insecta,NA,,,,,,
GB44849,Insecta,NA,,,,,,
GB44850,Insecta,NA,,,,,,
GB44851,NA,NA,,,,,,
GB44852,NA,NA,,,,,,
GB44853,NA,NA,,,,,,
GB44854,NA,NA,,,,,,
GB44855,NA,NA,,,,,,
GB44856,NA,NA,,,,,,
GB44857,NA,NA,,,,,,
GB44858,NA,NA,,,,,,
GB44859,NA,NA,,,,,,
GB44860,NA,NA,,,,,,
GB44861,Hymenoptera,NA,,,,,,
GB44862,Insecta,NA,,,,,,
GB44863,Insecta,NA,,,,,,
GB44865,Insecta,NA,,,,,,
GB44867,Insecta,NA,,,,,,
GB44868,Insecta,NA,,,,,,
GB44869,Insecta,W,,,,,,
GB44870,Insecta,NA,,,,,,
GB44871,Insecta,NA,,,,,,
GB44873,Insecta,NA,,,,,,
GB44875,NA,NA,,,,,,
GB44876,Insecta,NA,,,,,,
GB44877,Insecta,NA,,,,,,
GB44878,Insecta,NA,,,,,,
GB44879,Insecta,NA,,,,,,
GB44880,Insecta,NA,,,,,,
GB44881,Insecta,NA,,,,,,
GB44882,Insecta,NDEG,,,,,,
GB44883,Insecta,NA,,,,,,
GB44884,Insecta,NA,,,,,,
GB44885,Insecta,NA,,,,,,
GB44886,Hymenoptera,NA,,,,,,
GB44888,Insecta,NA,,,,,,
GB44889,Insecta,NA,,,,,,
GB44890,Insecta,NA,,,,,,
GB44891,Insecta,NA,,,,,,
GB44892,Apoidea,NA,,,,,,
GB44893,Hymenoptera,NA,,,,,,
GB44894,Insecta,NDEG,,,,,,
GB44895,Insecta,NA,,,,,,
GB44896,Insecta,NA,,,,,,
GB44897,Insecta,NDEG,,,,,,
GB44898,Insecta,NA,,,,,,
GB44899,Insecta,NA,,,,,,
GB44900,Insecta,NA,,,,,,
GB44901,Insecta,NA,,,,,,
GB44902,Insecta,NA,,,,,,
GB44903,Insecta,NA,,,,,,
GB44904,Insecta,NA,,,,,,
GB44905,Insecta,NA,,,,,,
GB44906,Insecta,NA,,,,,,
GB44907,Insecta,NDEG,,,,,,
GB44909,Insecta,NA,,,,,,
GB44910,Insecta,NA,,,,,,
GB44911,NA,NA,,,,,,
GB44912,Insecta,NA,,,,,,
GB44913,Insecta,NA,,,,,,
GB44914,Insecta,NA,,,,,,
GB44915,NA,NA,,,,,,
GB44917,Insecta,NA,,,,,,
GB44918,Insecta,NA,,,,,,
GB44920,NA,NA,,,,,,
GB44921,NA,NA,,,,,,
GB44922,NA,NA,,,,,,
GB44923,NA,NA,,,,,,
GB44924,NA,NA,,,,,,
GB44926,Insecta,NA,,,,,,
GB44927,Insecta,NA,,,,,,
GB44928,Insecta,NA,,,,,,
GB44929,Hymenoptera,NA,,,,,,
GB44930,Insecta,NA,,,,,,
GB44931,Insecta,NA,,,,,,
GB44932,Insecta,NA,,,,,,
GB44933,Insecta,NA,,,,,,
GB44934,Insecta,NA,,,,,,
GB44935,Insecta,NA,,,,,,
GB44936,Insecta,NA,,,,,,
GB44937,Insecta,NA,,,,,,
GB44938,Insecta,NA,,,,,,
GB44939,Insecta,NDEG,,,,,,
GB44940,Insecta,NA,,,,,,
GB44941,Insecta,NDEG,,,,,,
GB44942,Insecta,NA,,,,,,
GB44943,Insecta,NA,,,,,,
GB44944,Insecta,NA,,,,,,
GB44945,Apoidea,NA,,,,,,
GB44946,Insecta,NA,,,,,,
GB44947,Insecta,NA,,,,,,
GB44948,Insecta,NA,,,,,,
GB44949,Insecta,NA,,,,,,
GB44950,Insecta,NA,,,,,,
GB44954,NA,NA,,,,,,
GB44955,NA,NA,,,,,,
GB44959,Hymenoptera,NA,,,,,,
GB44960,Insecta,NA,,,,,,
GB44961,Insecta,NA,,,,,,
GB44962,Insecta,NA,,,,,,
GB44963,NA,NA,,,,,,
GB44964,Insecta,NA,,,,,,
GB44966,Insecta,NDEG,,,,,,
GB44967,Insecta,Q,,,,,,
GB44968,Insecta,NA,,,,,,
GB44969,Insecta,NDEG,,,,,,
GB44970,Insecta,NA,,,,,,
GB44971,Insecta,NA,,,,,,
GB44972,Insecta,NA,,,,,,
GB44973,Insecta,NA,,,,,,
GB44974,Insecta,NA,,,,,,
GB44975,NA,NA,,,,,,
GB44976,Insecta,NA,,,,,,
GB44977,Insecta,NA,,,,,,
GB44978,Insecta,NA,,,,,,
GB44980,Insecta,NDEG,,,,,,
GB44981,Insecta,NA,,,,,,
GB44982,Insecta,NA,,,,,,
GB44983,Insecta,NDEG,,,,,,
GB44984,Insecta,NA,,,,,,
GB44985,Hymenoptera,NA,,,,,,
GB44986,Hymenoptera,NA,,,,,,
GB44987,Hymenoptera,NA,,,,,,
GB44988,Hymenoptera,NDEG,,,,,,
GB44989,Apis,NA,,,,,,
GB44990,Insecta,NA,,,,,,
GB44991,Insecta,NDEG,,,,,,
GB44992,Insecta,NA,,,,,,
GB44993,NA,NA,,,,,,
GB44994,Insecta,NA,,,,,,
GB44995,Apoidea,NA,,,,,,
GB44996,Hymenoptera,W,,,,,,
GB44997,Insecta,NA,,,,,,
GB44998,Insecta,NA,,,,,,
GB44999,Insecta,NA,,,,,,
GB45000,Insecta,NA,,,,,,
GB45001,Insecta,NA,,,,,,
GB45004,NA,NA,,,,,,
GB45005,Insecta,NA,,,,,,
GB45008,Insecta,NA,,,,,,
GB45009,Insecta,NA,,,,,,
GB45010,Hymenoptera,NA,,,,,,
GB45011,Insecta,NA,,,,,,
GB45012,Insecta,NDEG,,,,,,
GB45013,Insecta,NA,,,,,,
GB45014,Insecta,NA,,,,,,
GB45015,Apoidea,NA,,,,,,
GB45017,Insecta,NA,,,,,,
GB45018,Insecta,NDEG,,,,,,
GB45019,NA,NA,,,,,,
GB45020,Insecta,NA,,,,,,
GB45023,Insecta,NDEG,,,,,,
GB45024,Insecta,NA,,,,,,
GB45025,Insecta,NDEG,,,,,,
GB45027,NA,NA,,,,,,
GB45028,Insecta,NDEG,,,,,,
GB45029,Insecta,NA,,,,,,
GB45032,NA,NA,,,,,,
GB45033,NA,NA,,,,,,
GB45034,Insecta,NA,,,,,,
GB45035,Insecta,NA,,,,,,
GB45036,Insecta,NA,,,,,,
GB45037,Insecta,NDEG,,,,,,
GB45038,Insecta,NA,,,,,,
GB45039,Insecta,NA,,,,,,
GB45040,Insecta,NA,,,,,,
GB45041,Insecta,NA,,,,,,
GB45042,Insecta,NA,,,,,,
GB45044,Insecta,NA,,,,,,
GB45046,Insecta,NA,,,,,,
GB45047,Insecta,NDEG,,,,,,
GB45048,Insecta,NA,,,,,,
GB45049,Insecta,NA,,,,,,
GB45050,Insecta,NA,,,,,,
GB45051,Insecta,NA,,,,,,
GB45052,Insecta,NA,,,,,,
GB45053,Insecta,NA,,,,,,
GB45054,Insecta,NA,,,,,,
GB45055,Insecta,NA,,,,,,
GB45056,Hymenoptera,NA,,,,,,
GB45057,Hymenoptera,NA,,,,,,
GB45058,Insecta,NA,,,,,,
GB45060,NA,NA,,,,,,
GB45061,NA,NA,,,,,,
GB45062,Insecta,NA,,,,,,
GB45063,Insecta,NA,,,,,,
GB45064,Insecta,NA,,,,,,
GB45065,Hymenoptera,NA,,,,,,
GB45066,NA,NA,,,,,,
GB45067,Insecta,NA,,,,,,
GB45069,Hymenoptera,NA,,,,,,
GB45070,Insecta,NA,,,,,,
GB45071,Insecta,NA,,,,,,
GB45072,Hymenoptera,NA,,,,,,
GB45073,Insecta,NDEG,,,,,,
GB45074,Insecta,NA,,,,,,
GB45075,Insecta,NA,,,,,,
GB45076,Insecta,NA,,,,,,
GB45077,Insecta,NA,,,,,,
GB45078,Insecta,NA,,,,,,
GB45079,Hymenoptera,NA,,,,,,
GB45080,Insecta,NA,,,,,,
GB45081,Hymenoptera,NA,,,,,,
GB45082,Insecta,NA,,,,,,
GB45083,Insecta,NA,,,,,,
GB45084,Insecta,NA,,,,,,
GB45085,Insecta,NA,,,,,,
GB45086,Insecta,NA,,,,,,
GB45087,Insecta,NDEG,,,,,,
GB45088,Hymenoptera,NA,,,,,,
GB45089,NA,NA,,,,,,
GB45091,Insecta,NA,,,,,,
GB45092,Insecta,NA,,,,,,
GB45093,NA,NA,,,,,,
GB45094,Insecta,NA,,,,,,
GB45095,Insecta,NA,,,,,,
GB45096,Insecta,NA,,,,,,
