am,lf,evalue
NP_001267818.1,TRINITY_DN27273_c0_g1_i1|m.6740,0.0
XP_003398409.1,TRINITY_DN12774_c0_g1_i1|m.35232,2e-172
XP_003398410.1,TRINITY_DN8890_c0_g1_i1|m.26322,2e-89
XP_003398411.1,TRINITY_DN12246_c0_g3_i1|m.1376,0.0
XP_003398417.1,TRINITY_DN11678_c0_g1_i1|m.28684,0.0
XP_003398421.1,TRINITY_DN11376_c0_g1_i1|m.36514,0.0
XP_003398422.1,TRINITY_DN14198_c0_g1_i1|m.29236,0.0
XP_003398424.1,TRINITY_DN13158_c2_g3_i1|m.46772,0.0
XP_003398426.1,TRINITY_DN6808_c0_g2_i1|m.2636,3e-158
XP_003398426.1,TRINITY_DN6808_c0_g2_i1|m.2636,2e-06
XP_003398426.1,TRINITY_DN6808_c0_g2_i1|m.2636,7e-06
XP_003398427.1,TRINITY_DN9542_c0_g1_i1|m.25500,1e-11
XP_003398428.1,TRINITY_DN10572_c0_g1_i1|m.47753,1e-103
XP_003398429.1,TRINITY_DN5035_c0_g1_i1|m.17073,5e-145
XP_003398431.1,TRINITY_DN36517_c0_g1_i1|m.39625,3e-63
XP_003398432.1,TRINITY_DN61_c0_g1_i1|m.46594,3e-37
XP_003398434.1,TRINITY_DN61_c0_g1_i1|m.46594,6e-40
XP_003398435.1,TRINITY_DN61_c0_g1_i1|m.46594,9e-45
XP_003398436.1,TRINITY_DN61_c0_g1_i1|m.46594,1e-43
XP_003398437.1,TRINITY_DN5035_c0_g1_i1|m.17073,4e-145
XP_003398440.1,TRINITY_DN36104_c0_g1_i1|m.16957,7e-65
XP_003398442.1,TRINITY_DN36008_c0_g1_i1|m.11316,7e-147
XP_003398443.1,TRINITY_DN6826_c0_g1_i1|m.2547,0.0
XP_003398444.1,TRINITY_DN11634_c0_g1_i1|m.28587,2e-114
XP_003398446.1,TRINITY_DN14085_c1_g1_i1|m.17336,0.0
XP_003398447.1,TRINITY_DN12503_c0_g2_i1|m.31886,4e-151
XP_003398449.1,TRINITY_DN2781_c0_g1_i1|m.33214,0.0
XP_003398454.1,TRINITY_DN12549_c0_g1_i1|m.31721,2e-78
XP_003398455.1,TRINITY_DN12549_c0_g1_i1|m.31721,4e-78
XP_003398456.1,TRINITY_DN9699_c0_g2_i1|m.27376,3e-123
XP_003398458.1,TRINITY_DN13185_c0_g1_i1|m.47102,0.0
XP_003398459.1,TRINITY_DN20115_c0_g1_i1|m.38913,8e-52
XP_003398461.1,TRINITY_DN13617_c0_g2_i1|m.5471,0.0
XP_003398464.1,TRINITY_DN7848_c0_g1_i1|m.4960,0.0
XP_003398465.1,TRINITY_DN13203_c0_g1_i1|m.19651,0.0
XP_003398466.1,TRINITY_DN11690_c0_g1_i1|m.28609,0.0
XP_003398468.1,TRINITY_DN8565_c0_g1_i1|m.40084,2e-63
XP_003398469.1,TRINITY_DN11992_c0_g1_i1|m.10718,3e-151
XP_003398470.1,TRINITY_DN11936_c0_g1_i1|m.10952,5e-65
XP_003398471.1,TRINITY_DN11936_c0_g1_i1|m.10952,2e-50
XP_003398472.2,TRINITY_DN10941_c0_g2_i1|m.38494,3e-65
XP_003398473.1,TRINITY_DN9816_c0_g1_i1|m.12789,0.0
XP_003398475.1,TRINITY_DN36073_c0_g1_i1|m.11329,1e-30
XP_003398476.1,TRINITY_DN7398_c0_g2_i1|m.21584,1e-31
XP_003398477.1,TRINITY_DN12963_c0_g1_i1|m.7760,0.0
XP_003398478.1,TRINITY_DN10483_c0_g1_i1|m.41975,0.0
XP_003398479.2,TRINITY_DN7791_c0_g1_i1|m.42953,0.0
XP_003398481.1,TRINITY_DN4738_c0_g1_i1|m.43064,3e-95
XP_003398482.1,TRINITY_DN4738_c0_g1_i1|m.43064,3e-95
XP_003398486.1,TRINITY_DN23594_c0_g1_i1|m.48803,9e-96
XP_003398487.1,TRINITY_DN6939_c0_g1_i1|m.40716,6e-148
XP_003398488.1,TRINITY_DN10635_c0_g1_i1|m.47934,9e-97
XP_003398489.1,TRINITY_DN12141_c0_g1_i1|m.37235,4e-124
XP_003398491.1,TRINITY_DN12577_c0_g1_i1|m.31558,0.0
XP_003398492.1,TRINITY_DN10657_c0_g1_i1|m.47881,5e-151
XP_003398493.1,TRINITY_DN12281_c1_g1_i1|m.1630,5e-161
XP_003398495.1,TRINITY_DN12281_c0_g1_i1|m.1626,2e-99
XP_003398496.2,TRINITY_DN11561_c0_g1_i1|m.14892,2e-13
XP_003398497.1,TRINITY_DN912_c0_g1_i1|m.11645,1e-97
XP_003398498.1,TRINITY_DN5876_c0_g1_i1|m.6889,0.0
XP_003398499.1,TRINITY_DN5876_c0_g1_i1|m.6889,0.0
XP_003398500.1,TRINITY_DN13443_c5_g2_i1|m.32196,5e-129
XP_003398502.1,TRINITY_DN14018_c0_g2_i1|m.18792,8e-159
XP_003398503.1,TRINITY_DN5001_c0_g1_i1|m.16992,0.0
XP_003398505.2,TRINITY_DN14018_c0_g2_i1|m.18793,4e-38
XP_003398506.1,TRINITY_DN6884_c0_g1_i1|m.2627,3e-120
XP_003398507.1,TRINITY_DN5772_c0_g1_i1|m.16734,0.0
XP_003398508.1,TRINITY_DN9087_c0_g1_i1|m.4748,0.0
XP_003398512.1,TRINITY_DN12796_c0_g1_i1|m.35083,0.0
XP_003398513.1,TRINITY_DN13549_c0_g2_i1|m.44373,4e-07
XP_003398516.2,TRINITY_DN13872_c12_g1_i1|m.22538,0.0
XP_003398517.1,TRINITY_DN7898_c0_g1_i1|m.4999,8e-145
XP_003398518.1,TRINITY_DN23296_c0_g1_i1|m.28701,4e-87
XP_003398520.1,TRINITY_DN13691_c0_g1_i1|m.5651,3e-173
XP_003398521.2,TRINITY_DN13691_c0_g1_i1|m.5650,0.0
XP_003398522.1,TRINITY_DN14119_c3_g1_i1|m.29191,0.0
XP_003398523.1,TRINITY_DN12844_c0_g3_i1|m.49703,0.0
XP_003398524.1,TRINITY_DN6268_c0_g1_i1|m.12272,0.0
XP_003398526.1,TRINITY_DN13980_c0_g1_i1|m.23919,1e-85
XP_003398527.1,TRINITY_DN14119_c3_g1_i1|m.29192,0.0
XP_003398531.1,TRINITY_DN12274_c0_g1_i1|m.1622,0.0
XP_003398532.1,TRINITY_DN13655_c4_g3_i1|m.5284,0.0
XP_003398536.1,TRINITY_DN4772_c0_g1_i1|m.43065,0.0
XP_003398540.1,TRINITY_DN13073_c0_g1_i1|m.689,1e-13
XP_003398541.1,TRINITY_DN10826_c0_g1_i1|m.6570,4e-40
XP_003398542.1,TRINITY_DN14227_c0_g1_i1|m.20940,0.0
XP_003398543.1,TRINITY_DN11963_c0_g1_i1|m.10700,1e-46
XP_003398545.1,TRINITY_DN13880_c0_g2_i1|m.23022,0.0
XP_003398546.1,TRINITY_DN13290_c0_g1_i1|m.20272,0.0
XP_003398547.1,TRINITY_DN10914_c0_g2_i1|m.38378,3e-107
XP_003398548.1,TRINITY_DN9491_c0_g3_i1|m.38053,9e-35
XP_003398549.1,TRINITY_DN8193_c0_g1_i1|m.11881,1e-160
XP_003398552.1,TRINITY_DN12134_c0_g1_i1|m.36664,0.0
XP_003398552.1,TRINITY_DN12134_c0_g1_i1|m.36664,1e-45
XP_003398553.1,TRINITY_DN13850_c0_g1_i1|m.21946,0.0
XP_003398554.1,TRINITY_DN1364_c0_g1_i1|m.27822,0.0
XP_003398555.1,TRINITY_DN13850_c0_g1_i1|m.21948,3e-30
XP_003398556.1,TRINITY_DN4822_c0_g1_i1|m.21340,1e-91
XP_003398559.1,TRINITY_DN11977_c0_g1_i1|m.10719,0.0
XP_003398560.1,TRINITY_DN11329_c0_g1_i1|m.36216,5e-168
XP_003398561.1,TRINITY_DN10773_c0_g1_i1|m.46353,0.0
XP_003398563.1,TRINITY_DN11163_c0_g1_i1|m.41527,7e-123
XP_003398568.1,TRINITY_DN6441_c0_g1_i1|m.27135,0.0
XP_003398569.1,TRINITY_DN12613_c0_g1_i1|m.15707,3e-126
XP_003398570.1,TRINITY_DN909_c0_g2_i1|m.11625,6e-51
XP_003398571.1,TRINITY_DN7096_c0_g1_i1|m.13313,9e-87
XP_003398572.1,TRINITY_DN909_c0_g1_i1|m.11624,1e-78
XP_003398574.1,TRINITY_DN9379_c0_g1_i1|m.39333,1e-105
XP_003398577.1,TRINITY_DN13967_c6_g1_i1|m.24194,8e-149
XP_003398579.1,TRINITY_DN9740_c0_g1_i1|m.12518,0.0
XP_003398584.1,TRINITY_DN3743_c0_g1_i1|m.39841,0.0
XP_003398585.1,TRINITY_DN14054_c2_g13_i1|m.18445,0.0
XP_003398586.1,TRINITY_DN12941_c2_g1_i1|m.8353,0.0
XP_003398587.1,TRINITY_DN13097_c0_g1_i1|m.71,0.0
XP_003398589.1,TRINITY_DN15489_c0_g1_i1|m.43028,9e-79
XP_003398590.1,TRINITY_DN7333_c0_g1_i1|m.21622,9e-61
XP_003398592.1,TRINITY_DN4826_c0_g1_i1|m.21322,7e-99
XP_003398593.1,TRINITY_DN12286_c0_g1_i1|m.1576,0.0
XP_003398594.1,TRINITY_DN6724_c0_g1_i1|m.42491,0.0
XP_003398595.1,TRINITY_DN13443_c5_g2_i1|m.32196,5e-22
XP_003398597.1,TRINITY_DN9648_c0_g1_i1|m.27593,0.0
XP_003398602.1,TRINITY_DN1363_c0_g1_i1|m.27794,1e-159
XP_003398603.1,TRINITY_DN1363_c0_g1_i1|m.27794,4e-174
XP_003398604.1,TRINITY_DN2817_c0_g2_i1|m.21242,0.0
XP_003398605.1,TRINITY_DN2817_c0_g2_i1|m.21242,0.0
XP_003398607.1,TRINITY_DN10708_c0_g1_i1|m.46265,6e-07
XP_003398609.1,TRINITY_DN8295_c0_g1_i1|m.7379,1e-75
XP_003398612.1,TRINITY_DN13469_c0_g2_i1|m.32140,7e-84
XP_003398612.1,TRINITY_DN13469_c0_g2_i1|m.32140,9e-11
XP_003398613.1,TRINITY_DN11067_c0_g1_i1|m.10114,5e-114
XP_003398615.1,TRINITY_DN1707_c0_g1_i1|m.9677,0.0
XP_003398616.1,TRINITY_DN20888_c0_g1_i1|m.12682,4e-112
XP_003398617.1,TRINITY_DN14128_c1_g1_i1|m.29349,3e-05
XP_003398621.1,TRINITY_DN19431_c0_g1_i1|m.31100,2e-130
XP_003398625.1,TRINITY_DN25323_c0_g1_i1|m.40547,9e-08
XP_003398626.1,TRINITY_DN25214_c0_g1_i1|m.31138,1e-07
XP_003398628.2,TRINITY_DN13767_c7_g1_i1|m.3289,0.0
XP_003398630.2,TRINITY_DN13645_c1_g2_i1|m.5149,1e-101
XP_003398633.1,TRINITY_DN13377_c0_g1_i1|m.33965,0.0
XP_003398635.1,TRINITY_DN9842_c0_g2_i1|m.12844,6e-66
XP_003398637.1,TRINITY_DN20563_c0_g1_i1|m.48867,2e-49
XP_003398637.1,TRINITY_DN20563_c0_g1_i1|m.48867,6e-09
XP_003398638.1,TRINITY_DN13810_c0_g1_i1|m.22591,2e-34
XP_003398638.1,TRINITY_DN13810_c0_g1_i1|m.22591,1e-24
XP_003398638.1,TRINITY_DN13810_c0_g1_i1|m.22591,5e-18
XP_003398640.1,TRINITY_DN1285_c0_g2_i1|m.11856,2e-83
XP_003398641.1,TRINITY_DN14164_c2_g1_i1|m.29779,0.0
XP_003398642.1,TRINITY_DN2570_c0_g2_i1|m.50536,5e-19
XP_003398644.1,TRINITY_DN12412_c1_g1_i1|m.45568,0.0
XP_003398646.1,TRINITY_DN21331_c0_g1_i1|m.9164,7e-125
XP_003398648.1,TRINITY_DN11801_c0_g1_i1|m.16266,0.0
XP_003398649.1,TRINITY_DN13426_c0_g1_i1|m.32950,0.0
XP_003398652.1,TRINITY_DN11727_c0_g1_i1|m.14650,0.0
XP_003398656.1,TRINITY_DN11656_c0_g1_i1|m.28391,0.0
XP_003398659.1,TRINITY_DN10559_c0_g1_i1|m.47670,1e-145
XP_003398662.1,TRINITY_DN9994_c0_g1_i1|m.25254,0.0
XP_003398664.1,TRINITY_DN11544_c0_g1_i1|m.14832,0.0
XP_003398667.1,TRINITY_DN5890_c0_g1_i1|m.6865,0.0
XP_003398669.1,TRINITY_DN12480_c1_g2_i1|m.45561,0.0
XP_003398670.1,TRINITY_DN12480_c1_g2_i1|m.45561,0.0
XP_003398673.1,TRINITY_DN9867_c0_g1_i1|m.13073,0.0
XP_003398674.1,TRINITY_DN13758_c1_g1_i1|m.4269,2e-126
XP_003398675.1,TRINITY_DN12411_c0_g1_i1|m.45660,0.0
XP_003398676.1,TRINITY_DN11872_c0_g1_i1|m.16400,0.0
XP_003398677.1,TRINITY_DN12411_c0_g2_i1|m.45661,0.0
XP_003398680.1,TRINITY_DN11081_c0_g1_i1|m.10221,8e-44
XP_003398681.1,TRINITY_DN36313_c0_g1_i1|m.38861,4e-80
XP_003398682.1,TRINITY_DN11208_c0_g2_i1|m.8591,1e-128
XP_003398683.1,TRINITY_DN13849_c0_g1_i1|m.22409,0.0
XP_003398686.1,TRINITY_DN7764_c0_g1_i1|m.42896,0.0
XP_003398688.1,TRINITY_DN13509_c0_g3_i1|m.44395,0.0
XP_003398689.1,TRINITY_DN13413_c0_g1_i1|m.32557,0.0
XP_003398690.1,TRINITY_DN5686_c0_g1_i1|m.43247,0.0
XP_003398691.1,TRINITY_DN955_c0_g1_i1|m.11626,0.0
XP_003398692.1,TRINITY_DN13872_c2_g1_i1|m.22529,0.0
XP_003398696.1,TRINITY_DN18674_c0_g1_i1|m.47467,2e-76
XP_003398697.1,TRINITY_DN9487_c0_g1_i1|m.37928,2e-125
XP_003398699.1,TRINITY_DN12467_c0_g1_i1|m.45500,9e-46
XP_003398700.1,TRINITY_DN5651_c0_g2_i1|m.43214,5e-83
XP_003398702.1,TRINITY_DN8215_c0_g1_i1|m.7361,0.0
XP_003398703.1,TRINITY_DN25772_c0_g1_i1|m.43516,5e-73
XP_003398704.1,TRINITY_DN11148_c0_g1_i1|m.41482,0.0
XP_003398705.1,TRINITY_DN11148_c0_g1_i1|m.41482,0.0
XP_003398706.1,TRINITY_DN10966_c0_g1_i1|m.38573,0.0
XP_003398707.1,TRINITY_DN10966_c0_g1_i1|m.38573,0.0
XP_003398709.1,TRINITY_DN12239_c1_g1_i1|m.1268,0.0
XP_003398710.1,TRINITY_DN7710_c0_g2_i1|m.42954,3e-157
XP_003398711.1,TRINITY_DN9868_c0_g1_i1|m.12977,9e-157
XP_003398712.1,TRINITY_DN6222_c0_g1_i1|m.12342,0.0
XP_003398713.1,TRINITY_DN28325_c0_g1_i1|m.41345,1e-120
XP_003398714.1,TRINITY_DN10455_c0_g1_i1|m.42212,0.0
XP_003398715.1,TRINITY_DN10218_c0_g1_i1|m.43665,0.0
XP_003398716.1,TRINITY_DN11629_c3_g1_i1|m.28578,0.0
XP_003398718.2,TRINITY_DN32978_c0_g1_i1|m.42584,0.0
XP_003398719.1,TRINITY_DN38249_c0_g1_i1|m.9490,7e-56
XP_003398720.2,TRINITY_DN23277_c0_g1_i1|m.28724,1e-107
XP_003398722.1,TRINITY_DN9151_c0_g1_i1|m.35874,9e-155
XP_003398723.1,TRINITY_DN8874_c0_g2_i1|m.26253,4e-156
XP_003398724.1,TRINITY_DN10911_c0_g1_i1|m.38195,6e-102
XP_003398726.1,TRINITY_DN13596_c2_g1_i1|m.44512,0.0
XP_003398727.1,TRINITY_DN8592_c0_g1_i1|m.40158,0.0
XP_003398728.1,TRINITY_DN9241_c0_g1_i1|m.40920,2e-142
XP_003398729.1,TRINITY_DN13767_c7_g1_i1|m.3287,0.0
XP_003398730.1,TRINITY_DN13767_c7_g1_i1|m.3287,0.0
XP_003398731.1,TRINITY_DN10887_c0_g1_i1|m.6517,0.0
XP_003398732.1,TRINITY_DN9701_c0_g1_i1|m.12561,0.0
XP_003398733.1,TRINITY_DN5560_c0_g1_i1|m.27063,0.0
XP_003398735.1,TRINITY_DN8410_c0_g1_i1|m.40490,7e-73
XP_003398736.1,TRINITY_DN6081_c0_g1_i1|m.1062,0.0
XP_003398737.1,TRINITY_DN11089_c0_g1_i1|m.10428,0.0
XP_003398738.1,TRINITY_DN14801_c0_g1_i1|m.6952,0.0
XP_003398739.1,TRINITY_DN11245_c0_g1_i1|m.8603,4e-148
XP_003398742.2,TRINITY_DN18677_c0_g1_i1|m.47468,0.0
XP_003398745.1,TRINITY_DN18677_c0_g1_i1|m.47468,0.0
XP_003398747.1,TRINITY_DN12479_c0_g1_i1|m.45345,0.0
XP_003398748.1,TRINITY_DN4090_c0_g1_i1|m.39014,0.0
XP_003398750.1,TRINITY_DN9517_c0_g2_i1|m.25544,0.0
XP_003398751.1,TRINITY_DN9517_c0_g2_i1|m.25544,0.0
XP_003398752.1,TRINITY_DN11633_c0_g1_i1|m.28337,0.0
XP_003398753.1,TRINITY_DN24040_c0_g1_i1|m.31154,0.0
XP_003398756.2,TRINITY_DN9316_c0_g2_i1|m.39212,1e-56
XP_003398761.1,TRINITY_DN3221_c0_g1_i1|m.27764,5e-110
XP_003398763.1,TRINITY_DN11627_c0_g1_i1|m.28436,0.0
XP_003398766.1,TRINITY_DN11990_c0_g1_i1|m.10759,1e-114
XP_003398771.1,TRINITY_DN919_c0_g1_i1|m.11641,2e-96
XP_003398772.2,TRINITY_DN5110_c0_g2_i1|m.13623,0.0
XP_003398773.1,TRINITY_DN33549_c0_g1_i1|m.9038,4e-118
XP_003398775.1,TRINITY_DN9152_c0_g1_i1|m.35862,5e-123
XP_003398777.1,TRINITY_DN10410_c1_g2_i1|m.42145,3e-180
XP_003398778.1,TRINITY_DN6236_c0_g1_i1|m.12335,0.0
XP_003398779.1,TRINITY_DN12078_c0_g1_i1|m.37610,0.0
XP_003398780.1,TRINITY_DN11269_c0_g1_i1|m.8845,0.0
XP_003398781.1,TRINITY_DN8782_c0_g1_i1|m.4322,0.0
XP_003398782.1,TRINITY_DN25244_c0_g1_i1|m.31136,2e-80
XP_003398783.1,TRINITY_DN25244_c0_g1_i1|m.31136,3e-80
XP_003398784.1,TRINITY_DN9876_c0_g2_i1|m.12832,0.0
XP_003398785.1,TRINITY_DN9876_c0_g2_i1|m.12832,0.0
XP_003398786.1,TRINITY_DN15613_c0_g1_i1|m.46685,4e-85
XP_003398787.1,TRINITY_DN760_c0_g2_i1|m.4514,0.0
XP_003398790.1,TRINITY_DN11832_c0_g1_i1|m.16559,1e-21
XP_003398792.1,TRINITY_DN28832_c0_g1_i1|m.19065,2e-62
XP_003398793.1,TRINITY_DN13900_c0_g1_i1|m.23977,0.0
XP_003398794.1,TRINITY_DN9271_c1_g1_i1|m.40897,0.0
XP_003398795.1,TRINITY_DN5221_c0_g2_i1|m.34290,0.0
XP_003398796.1,TRINITY_DN7699_c0_g1_i1|m.9386,8e-130
XP_003398797.1,TRINITY_DN9070_c0_g1_i1|m.4625,0.0
XP_003398798.1,TRINITY_DN37801_c0_g1_i1|m.30812,1e-104
XP_003398800.1,TRINITY_DN13094_c1_g3_i1|m.674,2e-120
XP_003398801.1,TRINITY_DN9619_c0_g1_i1|m.27406,2e-12
XP_003398802.1,TRINITY_DN10587_c0_g1_i1|m.47582,5e-169
XP_003398804.1,TRINITY_DN12501_c0_g1_i1|m.31925,2e-128
XP_003398805.1,TRINITY_DN9159_c0_g1_i1|m.35861,0.0
XP_003398806.1,TRINITY_DN11006_c0_g1_i1|m.10275,0.0
XP_003398807.1,TRINITY_DN11524_c0_g1_i1|m.15178,0.0
XP_003398808.1,TRINITY_DN11524_c0_g1_i1|m.15178,0.0
XP_003398811.2,TRINITY_DN8071_c0_g1_i1|m.38682,0.0
XP_003398812.1,TRINITY_DN8015_c0_g1_i1|m.38673,0.0
XP_003398813.1,TRINITY_DN8790_c0_g2_i1|m.4324,4e-155
XP_003398814.1,TRINITY_DN6672_c1_g1_i1|m.41795,4e-150
XP_003398815.1,TRINITY_DN23787_c0_g1_i1|m.15965,5e-86
XP_003398816.1,TRINITY_DN13916_c0_g1_i1|m.23500,0.0
XP_003398817.1,TRINITY_DN13854_c0_g1_i1|m.22266,3e-65
XP_003398819.1,TRINITY_DN11976_c0_g1_i1|m.11087,4e-135
XP_003398820.1,TRINITY_DN8476_c0_g1_i1|m.40358,3e-130
XP_003398821.1,TRINITY_DN19139_c0_g1_i1|m.40573,0.0
XP_003398822.1,TRINITY_DN9844_c0_g1_i1|m.12852,0.0
XP_003398825.2,TRINITY_DN11605_c0_g1_i1|m.28389,0.0
XP_003398829.1,TRINITY_DN23313_c0_g1_i1|m.31187,0.0
XP_003398829.1,TRINITY_DN23313_c0_g1_i1|m.31187,4e-07
XP_003398830.1,TRINITY_DN12410_c0_g1_i1|m.45887,0.0
XP_003398831.1,TRINITY_DN9602_c0_g1_i1|m.27367,4e-19
XP_003398832.1,TRINITY_DN7962_c0_g1_i1|m.40315,6e-151
XP_003398833.1,TRINITY_DN9906_c0_g1_i1|m.25284,7e-178
XP_003398834.1,TRINITY_DN19705_c0_g1_i1|m.12075,1e-94
XP_003398835.1,TRINITY_DN13065_c0_g1_i1|m.820,0.0
XP_003398836.1,TRINITY_DN18757_c0_g1_i1|m.8980,5e-16
XP_003398836.1,TRINITY_DN18757_c0_g1_i1|m.8980,1e-06
XP_003398838.1,TRINITY_DN9316_c0_g2_i1|m.39212,1e-61
XP_003398844.2,TRINITY_DN8813_c0_g1_i1|m.26255,0.0
XP_003398846.1,TRINITY_DN9979_c0_g1_i1|m.25111,1e-60
XP_003398851.1,TRINITY_DN6167_c0_g1_i1|m.14763,4e-34
XP_003398853.1,TRINITY_DN5083_c0_g1_i1|m.17061,0.0
XP_003398854.1,TRINITY_DN34152_c0_g1_i1|m.21685,2e-73
XP_003398855.1,TRINITY_DN9622_c1_g1_i1|m.27599,0.0
XP_003398858.1,TRINITY_DN14098_c0_g2_i1|m.17211,0.0
XP_003398859.1,TRINITY_DN6643_c0_g2_i1|m.41788,2e-98
XP_003398860.1,TRINITY_DN610_c0_g1_i1|m.11177,2e-81
XP_003398861.1,TRINITY_DN11413_c0_g1_i1|m.34650,0.0
XP_003398863.1,TRINITY_DN13410_c5_g1_i1|m.32516,0.0
XP_003398870.1,TRINITY_DN12506_c0_g1_i1|m.31500,0.0
XP_003398872.2,TRINITY_DN9191_c0_g1_i1|m.35866,0.0
XP_003398872.2,TRINITY_DN9191_c0_g1_i1|m.35866,8e-20
XP_003398872.2,TRINITY_DN9191_c0_g1_i1|m.35866,3e-15
XP_003398873.1,TRINITY_DN11182_c0_g1_i1|m.41473,3e-139
XP_003398874.1,TRINITY_DN28716_c0_g1_i1|m.19018,6e-15
XP_003398876.1,TRINITY_DN11163_c1_g1_i1|m.41528,0.0
XP_003398876.1,TRINITY_DN11163_c1_g1_i1|m.41528,2e-10
XP_003398880.1,TRINITY_DN22996_c0_g1_i1|m.42762,0.0
XP_003398881.1,TRINITY_DN3638_c0_g3_i1|m.39467,0.0
XP_003398882.1,TRINITY_DN3638_c0_g3_i1|m.39467,0.0
XP_003398885.1,TRINITY_DN10933_c0_g2_i1|m.38364,0.0
XP_003398886.1,TRINITY_DN12656_c0_g1_i1|m.15576,0.0
XP_003398888.1,TRINITY_DN10503_c0_g1_i1|m.47563,0.0
XP_003398890.1,TRINITY_DN10490_c0_g1_i1|m.42091,5e-172
XP_003398891.1,TRINITY_DN13794_c0_g1_i1|m.4001,0.0
XP_003398892.1,TRINITY_DN7274_c0_g2_i1|m.13994,1e-151
XP_003398894.1,TRINITY_DN7580_c0_g2_i1|m.41156,1e-20
XP_003398895.1,TRINITY_DN12571_c0_g2_i1|m.31347,3e-170
XP_003398896.1,TRINITY_DN13455_c0_g1_i1|m.32457,0.0
XP_003398897.1,TRINITY_DN11670_c0_g2_i1|m.28631,2e-104
XP_003398898.1,TRINITY_DN33194_c0_g1_i1|m.38648,2e-28
XP_003398899.1,TRINITY_DN10702_c0_g2_i1|m.46244,0.0
XP_003398900.1,TRINITY_DN9096_c0_g1_i1|m.4713,0.0
XP_003398901.1,TRINITY_DN10862_c1_g1_i1|m.6263,0.0
XP_003398902.1,TRINITY_DN10862_c1_g1_i1|m.6263,0.0
XP_003398903.1,TRINITY_DN14200_c1_g4_i1|m.20817,3e-150
XP_003398904.1,TRINITY_DN3157_c0_g1_i1|m.31951,6e-172
XP_003398906.1,TRINITY_DN5762_c0_g1_i1|m.16750,4e-110
XP_003398907.2,TRINITY_DN7256_c0_g2_i1|m.14021,2e-87
XP_003398908.1,TRINITY_DN23157_c0_g1_i1|m.26121,1e-147
XP_003398909.1,TRINITY_DN13749_c1_g1_i1|m.3677,0.0
XP_003398911.1,TRINITY_DN23159_c0_g1_i1|m.26130,5e-77
XP_003398913.1,TRINITY_DN10475_c0_g1_i1|m.42009,5e-133
XP_003398915.1,TRINITY_DN13464_c1_g1_i1|m.32074,6e-24
XP_003398916.1,TRINITY_DN12035_c0_g1_i1|m.37484,0.0
XP_003398920.1,TRINITY_DN3778_c0_g1_i1|m.39794,0.0
XP_003398921.1,TRINITY_DN10244_c0_g1_i1|m.43577,2e-64
XP_003398923.1,TRINITY_DN14186_c1_g1_i1|m.30733,2e-88
XP_003398925.1,TRINITY_DN15086_c0_g1_i1|m.2370,9e-54
XP_003398928.1,TRINITY_DN10064_c1_g1_i1|m.26641,0.0
XP_003398929.1,TRINITY_DN10238_c0_g1_i1|m.43819,0.0
XP_003398931.1,TRINITY_DN25709_c0_g1_i1|m.43529,4e-80
XP_003398932.1,TRINITY_DN13173_c0_g1_i1|m.47279,0.0
XP_003398933.1,TRINITY_DN9493_c0_g1_i1|m.38078,0.0
XP_003398937.1,TRINITY_DN11983_c0_g1_i1|m.10754,1e-129
XP_003398937.1,TRINITY_DN11983_c0_g1_i1|m.10754,1e-28
XP_003398938.1,TRINITY_DN9296_c0_g2_i1|m.40876,0.0
XP_003398939.1,TRINITY_DN9296_c0_g2_i1|m.40876,0.0
XP_003398945.1,TRINITY_DN13452_c0_g1_i1|m.32281,9e-46
XP_003398946.1,TRINITY_DN13452_c0_g1_i1|m.32281,9e-46
XP_003398947.1,TRINITY_DN13452_c0_g1_i1|m.32281,9e-46
XP_003398951.1,TRINITY_DN732_c0_g1_i1|m.4510,1e-154
XP_003398952.1,TRINITY_DN12720_c0_g1_i1|m.35569,0.0
XP_003398953.1,TRINITY_DN7180_c0_g1_i1|m.13382,1e-148
XP_003398954.1,TRINITY_DN11868_c0_g2_i1|m.16488,0.0
XP_003398955.1,TRINITY_DN2518_c0_g1_i1|m.50561,2e-64
XP_003398956.1,TRINITY_DN23777_c0_g1_i1|m.15966,1e-40
XP_003398957.1,TRINITY_DN12699_c0_g1_i1|m.15732,0.0
XP_003398958.1,TRINITY_DN6118_c0_g1_i1|m.14712,6e-89
XP_003398959.1,TRINITY_DN6118_c0_g1_i1|m.14714,6e-54
XP_003398960.1,TRINITY_DN6118_c0_g1_i1|m.14714,8e-55
XP_003398961.1,TRINITY_DN6118_c0_g1_i1|m.14714,2e-54
XP_003398962.1,TRINITY_DN32356_c0_g1_i1|m.48893,1e-99
XP_003398964.1,TRINITY_DN5527_c0_g2_i1|m.27082,0.0
XP_003398965.1,TRINITY_DN27373_c0_g1_i1|m.28124,0.0
XP_003398966.1,TRINITY_DN9840_c0_g1_i1|m.13016,0.0
XP_003398966.1,TRINITY_DN9840_c0_g1_i1|m.13016,3e-17
XP_003398969.1,TRINITY_DN11063_c0_g1_i1|m.10158,0.0
XP_003398970.1,TRINITY_DN3687_c0_g2_i1|m.39459,3e-132
XP_003398971.1,TRINITY_DN11525_c0_g1_i1|m.15217,1e-61
XP_003398972.1,TRINITY_DN14607_c0_g1_i1|m.9724,0.0
XP_003398973.1,TRINITY_DN13912_c1_g3_i1|m.23916,1e-126
XP_003398974.1,TRINITY_DN14306_c0_g1_i1|m.16098,0.0
