ln,am,evalue
KMQ87587.1,XP_012175268.1,4e-11
KMQ87589.1,XP_012175519.1,2e-14
KMQ87591.1,XP_012171885.1,7e-90
KMQ87592.1,XP_012174517.1,2e-65
KMQ87592.1,XP_012174517.1,1e-39
KMQ87593.1,XP_012174411.1,1e-18
KMQ87596.1,XP_012164710.1,8e-05
KMQ87597.1,XP_003394058.1,1e-48
KMQ87598.1,XP_003394058.1,1e-44
KMQ87603.1,XP_003398163.1,9e-115
KMQ87604.1,XP_003398167.1,0.0
KMQ87605.1,XP_012174539.1,3e-59
KMQ87605.1,XP_012174539.1,2e-15
KMQ87607.1,XP_012164999.1,2e-35
KMQ87609.1,XP_003394967.1,2e-60
KMQ87610.1,XP_012170801.1,0.0
KMQ87611.1,XP_012172978.1,0.0
KMQ87611.1,XP_012172978.1,1e-133
KMQ87611.1,XP_012172978.1,4e-120
KMQ87611.1,XP_012172978.1,8e-98
KMQ87611.1,XP_012172978.1,3e-95
KMQ87611.1,XP_012172978.1,1e-70
KMQ87611.1,XP_012172978.1,8e-70
KMQ87611.1,XP_012172978.1,1e-63
KMQ87611.1,XP_012172978.1,6e-61
KMQ87611.1,XP_012172978.1,4e-48
KMQ87611.1,XP_012172978.1,1e-36
KMQ87611.1,XP_012172978.1,2e-17
KMQ87613.1,XP_012176248.1,9e-38
KMQ87614.1,XP_003392936.1,0.0
KMQ87614.1,XP_003392936.1,2e-132
KMQ87615.1,XP_012174543.1,1e-173
KMQ87617.1,XP_012175336.1,2e-15
KMQ87618.1,XP_012173551.1,0.0
KMQ87619.1,XP_012176191.1,2e-128
KMQ87620.1,XP_012176383.1,2e-140
KMQ87621.1,XP_003394439.1,2e-142
KMQ87621.1,XP_003394439.1,2e-08
KMQ87622.1,XP_012171105.1,8e-66
KMQ87623.1,XP_012168114.1,0.0
KMQ87627.1,XP_012170773.1,3e-94
KMQ87627.1,XP_012170773.1,2e-40
KMQ87628.1,XP_003394732.1,5e-102
KMQ87630.1,XP_012171759.1,0.0
KMQ87630.1,XP_012171759.1,6e-126
KMQ87634.1,XP_003402800.2,2e-46
KMQ87638.1,XP_012171573.1,0.0
KMQ87639.1,XP_003402237.1,0.0
KMQ87641.1,XP_003396201.1,0.0
KMQ87642.1,XP_012175696.1,3e-45
KMQ87643.1,XP_012175696.1,2e-49
KMQ87646.1,XP_012164720.1,3e-20
KMQ87652.1,XP_012176307.1,5e-50
KMQ87653.1,XP_012175337.1,3e-11
KMQ87654.1,XP_012170721.1,6e-86
KMQ87655.1,XP_012175336.1,2e-20
KMQ87657.1,XP_012165676.1,0.0
KMQ87657.1,XP_012165676.1,1e-14
KMQ87660.1,XP_003398424.1,9e-21
KMQ87661.1,XP_012176307.1,7e-59
KMQ87662.1,XP_003393673.1,0.0
KMQ87663.1,XP_012168078.1,0.0
KMQ87664.1,XP_012168078.1,0.0
KMQ87666.1,XP_012167635.1,7e-70
KMQ87667.1,XP_012174870.1,2e-29
KMQ87668.1,XP_012166588.1,3e-28
KMQ87670.1,XP_012174000.1,2e-26
KMQ87671.1,XP_012174411.1,9e-52
KMQ87671.1,XP_012174411.1,6e-13
KMQ87676.1,XP_003398440.1,1e-62
KMQ87677.1,XP_012174861.1,3e-07
KMQ87678.1,XP_003395292.1,5e-127
KMQ87679.1,XP_012172462.1,0.0
KMQ87680.1,XP_012163533.1,1e-79
KMQ87680.1,XP_012163533.1,2e-10
KMQ87684.1,XP_012174699.1,4e-08
KMQ87685.1,XP_012174316.1,2e-176
KMQ87686.1,XP_003396468.1,3e-44
KMQ87687.1,XP_012166577.1,0.0
KMQ87688.1,XP_012173314.1,1e-146
KMQ87691.1,XP_003399620.1,0.0
KMQ87692.1,XP_012171986.1,1e-24
KMQ87693.1,XP_012171172.1,1e-152
KMQ87694.1,XP_012171162.1,4e-21
KMQ87695.1,XP_012171986.1,1e-29
KMQ87696.1,XP_012164669.1,7e-38
KMQ87697.1,XP_012170164.1,0.0
KMQ87698.1,XP_012170163.1,2e-125
KMQ87699.1,XP_012175199.1,4e-55
KMQ87700.1,XP_012169550.1,1e-147
KMQ87701.1,XP_012170828.1,0.0
KMQ87702.1,XP_012174141.1,4e-144
KMQ87705.1,XP_012176307.1,5e-11
KMQ87706.1,XP_012175455.1,8e-13
KMQ87707.1,XP_012169761.1,1e-16
KMQ87708.1,XP_012164117.1,0.0
KMQ87708.1,XP_012164117.1,4e-15
KMQ87709.1,XP_003398615.1,3e-07
KMQ87712.1,XP_012174211.1,1e-18
KMQ87715.1,XP_012172982.1,2e-43
KMQ87717.1,XP_012176307.1,6e-15
KMQ87718.1,XP_003401350.2,5e-09
KMQ87719.1,XP_003399639.1,0.0
KMQ87720.1,XP_012176655.1,0.0
KMQ87721.1,XP_003401691.1,8e-169
KMQ87722.1,XP_003401691.1,0.0
KMQ87723.1,XP_003399271.2,0.0
KMQ87725.1,XP_012174539.1,6e-09
KMQ87726.1,XP_012172860.1,2e-50
KMQ87727.1,XP_012173829.1,1e-91
KMQ87730.1,XP_012175336.1,1e-09
KMQ87732.1,XP_012166717.1,2e-10
KMQ87733.1,XP_012173709.1,2e-08
KMQ87734.1,XP_012175298.1,0.0
KMQ87735.1,XP_003399181.1,1e-116
KMQ87737.1,XP_003399148.1,0.0
KMQ87738.1,XP_012169820.1,8e-82
KMQ87738.1,XP_012169820.1,2e-80
KMQ87738.1,XP_012169820.1,5e-54
KMQ87738.1,XP_012169820.1,3e-53
KMQ87738.1,XP_012169820.1,2e-13
KMQ87738.1,XP_012169820.1,1e-11
KMQ87738.1,XP_012169820.1,1e-05
KMQ87742.1,XP_012167698.1,2e-09
KMQ87743.1,XP_012176127.1,0.0
KMQ87744.1,XP_012176409.1,2e-108
KMQ87745.1,XP_012176653.1,0.0
KMQ87747.1,XP_012175455.1,2e-06
KMQ87748.1,XP_012169508.1,3e-05
KMQ87749.1,XP_012164960.1,2e-61
KMQ87750.1,XP_012163187.1,9e-116
KMQ87751.1,XP_003396801.1,0.0
KMQ87752.1,XP_012174528.1,1e-10
KMQ87753.1,XP_003396675.1,6e-09
KMQ87754.1,XP_012173542.1,2e-121
KMQ87755.1,XP_012173543.1,2e-13
KMQ87756.1,XP_012174539.1,0.0
KMQ87757.1,XP_012176306.1,3e-15
KMQ87758.1,XP_003402088.1,2e-98
KMQ87759.1,XP_012170235.1,0.0
KMQ87760.1,XP_012170589.1,0.0
KMQ87761.1,XP_012175226.1,4e-67
KMQ87762.1,XP_012174400.1,8e-21
KMQ87763.1,XP_003401920.1,2e-87
KMQ87764.1,XP_012167421.1,3e-31
KMQ87767.1,XP_012167698.1,2e-09
KMQ87772.1,XP_012174539.1,0.0
KMQ87774.1,XP_012165420.1,1e-62
KMQ87776.1,XP_012164720.1,5e-47
KMQ87778.1,XP_012175818.1,3e-31
KMQ87779.1,XP_012166751.1,3e-115
KMQ87780.1,XP_012164588.1,0.0
KMQ87780.1,XP_012164588.1,3e-37
KMQ87781.1,XP_012168080.1,2e-12
KMQ87785.1,XP_012174411.1,7e-23
KMQ87791.1,XP_003394949.1,1e-06
KMQ87792.1,XP_012170054.1,4e-48
KMQ87797.1,XP_012174000.1,9e-26
KMQ87799.1,XP_012174005.1,8e-16
KMQ87800.1,XP_012164720.1,1e-23
KMQ87801.1,XP_012175227.1,3e-14
KMQ87802.1,XP_012174900.1,1e-34
KMQ87803.1,XP_012174517.1,2e-19
KMQ87804.1,XP_003394501.1,0.0
KMQ87805.1,XP_012174539.1,0.0
KMQ87806.1,XP_003402064.1,3e-180
KMQ87808.1,XP_003399863.1,2e-147
KMQ87809.1,XP_012172861.1,4e-05
KMQ87810.1,XP_012174539.1,0.0
KMQ87811.1,XP_012175449.1,8e-99
KMQ87812.1,XP_012169331.1,2e-118
KMQ87813.1,XP_012174539.1,0.0
KMQ87819.1,XP_012174699.1,3e-26
KMQ87820.1,XP_012174699.1,1e-06
KMQ87824.1,XP_012170576.1,0.0
KMQ87824.1,XP_012170576.1,1e-25
KMQ87824.1,XP_012170576.1,5e-21
KMQ87824.1,XP_012170576.1,3e-20
KMQ87824.1,XP_012170576.1,1e-19
KMQ87825.1,XP_012167403.1,7e-16
KMQ87826.1,XP_012174539.1,3e-94
KMQ87827.1,XP_012171986.1,1e-08
KMQ87828.1,XP_012175449.1,1e-66
KMQ87829.1,XP_012175688.1,4e-59
KMQ87830.1,XP_012171986.1,2e-41
KMQ87831.1,XP_012174539.1,0.0
KMQ87831.1,XP_012174539.1,3e-21
KMQ87832.1,XP_012167790.1,2e-32
KMQ87834.1,XP_003397758.1,0.0
KMQ87835.1,XP_012164348.1,0.0
KMQ87836.1,XP_003398442.1,0.0
KMQ87838.1,XP_012172982.1,3e-31
KMQ87841.1,XP_012167064.1,5e-11
KMQ87842.1,XP_012170189.1,2e-135
KMQ87843.1,XP_003393571.1,2e-44
KMQ87844.1,XP_012170189.1,7e-112
KMQ87844.1,XP_012170189.1,2e-10
KMQ87844.1,XP_012170189.1,6e-06
KMQ87844.1,XP_012170189.1,1e-05
KMQ87844.1,XP_012170189.1,3e-05
KMQ87846.1,XP_012168752.1,4e-112
KMQ87847.1,XP_012167849.1,6e-64
KMQ87848.1,XP_012166305.1,6e-56
KMQ87852.1,XP_012170072.1,2e-73
KMQ87852.1,XP_012170072.1,5e-17
KMQ87853.1,XP_003403401.2,3e-144
KMQ87854.1,XP_003395748.1,8e-116
KMQ87855.1,XP_003398692.1,0.0
KMQ87857.1,XP_003395269.1,3e-26
KMQ87857.1,XP_003395269.1,2e-21
KMQ87858.1,XP_012171987.1,3e-18
KMQ87859.1,XP_012171988.1,3e-13
KMQ87860.1,XP_012175449.1,9e-86
KMQ87861.1,XP_012174539.1,2e-48
KMQ87863.1,XP_012170179.1,2e-21
KMQ87864.1,XP_012170189.1,0.0
KMQ87866.1,XP_003399276.1,2e-106
KMQ87868.1,XP_012172982.1,7e-51
KMQ87869.1,XP_012172192.1,0.0
KMQ87871.1,XP_012175533.1,3e-16
KMQ87873.1,XP_012174411.1,9e-14
KMQ87875.1,XP_003398800.1,1e-35
KMQ87876.1,XP_012168612.1,0.0
KMQ87880.1,XP_012169716.1,2e-53
KMQ87882.1,XP_003394266.1,3e-74
KMQ87884.1,XP_012174528.1,2e-16
KMQ87887.1,XP_012171480.1,1e-07
KMQ87890.1,XP_012169933.1,5e-10
KMQ87891.1,XP_012169933.1,4e-48
KMQ87892.1,XP_003395217.2,2e-148
KMQ87895.1,XP_012176065.1,1e-50
KMQ87895.1,XP_012176065.1,1e-12
KMQ87896.1,XP_003393487.1,5e-78
KMQ87897.1,XP_003401395.2,7e-167
KMQ87899.1,XP_012164324.1,0.0
KMQ87900.1,XP_012174539.1,0.0
KMQ87904.1,XP_012173127.1,7e-11
KMQ87907.1,XP_012175533.1,4e-12
KMQ87908.1,XP_012173831.1,9e-30
KMQ87910.1,XP_012174861.1,3e-08
KMQ87912.1,XP_012172841.1,3e-141
KMQ87912.1,XP_012172841.1,3e-93
KMQ87912.1,XP_012172841.1,4e-83
KMQ87912.1,XP_012172841.1,2e-62
KMQ87912.1,XP_012172841.1,3e-58
KMQ87912.1,XP_012172841.1,2e-53
KMQ87912.1,XP_012172841.1,3e-52
KMQ87912.1,XP_012172841.1,2e-50
KMQ87912.1,XP_012172841.1,2e-31
KMQ87912.1,XP_012172841.1,4e-13
KMQ87913.1,XP_003396250.1,4e-147
KMQ87914.1,XP_003396251.1,1e-153
KMQ87915.1,XP_003395805.1,0.0
KMQ87916.1,XP_012166279.1,1e-172
KMQ87916.1,XP_012166279.1,3e-55
KMQ87916.1,XP_012166279.1,7e-20
KMQ87918.1,XP_012168306.1,6e-106
KMQ87921.1,XP_012171362.1,4e-17
KMQ87923.1,XP_012175533.1,3e-10
KMQ87926.1,XP_012172982.1,4e-49
KMQ87927.1,XP_003392938.1,8e-139
KMQ87930.1,XP_012175539.1,5e-46
KMQ87932.1,XP_012174000.1,1e-79
KMQ87933.1,XP_012169359.1,5e-68
KMQ87935.1,XP_012176060.1,2e-142
KMQ87935.1,XP_012176060.1,2e-97
KMQ87935.1,XP_012176060.1,1e-32
KMQ87936.1,XP_012173548.1,4e-49
KMQ87937.1,XP_012173550.1,1e-128
KMQ87939.1,XP_012174539.1,0.0
KMQ87940.1,XP_003400838.1,3e-70
KMQ87941.1,XP_012167288.1,0.0
KMQ87942.1,XP_012175268.1,5e-10
KMQ87943.1,XP_012175336.1,3e-56
KMQ87948.1,XP_012173731.1,2e-71
KMQ87950.1,XP_012174400.1,9e-06
KMQ87951.1,XP_012175268.1,4e-12
KMQ87953.1,XP_003396331.1,0.0
KMQ87954.1,XP_003393571.1,0.0
KMQ87954.1,XP_003393571.1,2e-21
KMQ87954.1,XP_003393571.1,5e-20
KMQ87954.1,XP_003393571.1,2e-19
KMQ87954.1,XP_003393571.1,1e-15
KMQ87955.1,XP_003393571.1,2e-70
KMQ87955.1,XP_003393571.1,1e-14
KMQ87955.1,XP_003393571.1,2e-13
KMQ87955.1,XP_003393571.1,2e-11
KMQ87955.1,XP_003393571.1,9e-11
KMQ87955.1,XP_003393571.1,9e-09
KMQ87957.1,XP_003398304.2,2e-99
KMQ87958.1,XP_012173120.1,4e-34
KMQ87959.1,XP_012170134.1,0.0
KMQ87960.1,XP_012169820.1,1e-133
KMQ87960.1,XP_012169820.1,2e-97
KMQ87962.1,XP_012175336.1,9e-18
KMQ87963.1,XP_012173334.1,9e-07
KMQ87964.1,XP_012164720.1,2e-35
KMQ87966.1,XP_012167986.1,2e-156
KMQ87967.1,XP_012174539.1,0.0
KMQ87968.1,XP_003396944.1,1e-116
KMQ87970.1,XP_003401172.1,5e-49
KMQ87971.1,XP_003393213.1,9e-142
KMQ87972.1,XP_012175268.1,3e-11
KMQ87973.1,XP_012174005.1,1e-05
KMQ87975.1,XP_003400145.1,6e-50
KMQ87976.1,XP_012170927.1,6e-112
KMQ87978.1,XP_012169807.1,4e-147
KMQ87979.1,XP_003397462.1,0.0
KMQ87984.1,XP_003397507.1,3e-88
KMQ87985.1,XP_012167041.1,1e-62
KMQ87987.1,XP_012171986.1,2e-32
KMQ87988.1,XP_012171988.1,3e-57
KMQ87989.1,XP_012174539.1,3e-170
KMQ87992.1,XP_012172982.1,1e-41
KMQ87993.1,XP_012176306.1,3e-16
KMQ87994.1,XP_012174214.1,9e-48
KMQ87995.1,XP_012176290.1,3e-10
KMQ87996.1,XP_012174517.1,4e-90
KMQ87997.1,XP_003394551.1,9e-33
KMQ87999.1,XP_012163366.1,0.0
KMQ88000.1,XP_012176116.1,5e-30
KMQ88001.1,XP_012176306.1,6e-20
KMQ88002.1,XP_012174211.1,2e-26
KMQ88003.1,XP_012172982.1,1e-21
KMQ88004.1,XP_012171768.1,0.0
KMQ88006.1,XP_003395847.1,0.0
KMQ88007.1,XP_012169946.1,7e-72
KMQ88010.1,XP_003393839.1,4e-144
KMQ88011.1,XP_003393833.1,5e-40
KMQ88012.1,XP_003396584.1,0.0
KMQ88015.1,XP_012167475.1,5e-97
KMQ88016.1,XP_003397230.1,0.0
KMQ88017.1,XP_003397255.1,1e-73
KMQ88018.1,XP_003397379.2,9e-134
KMQ88021.1,XP_012174825.1,0.0
KMQ88022.1,XP_012174411.1,6e-18
KMQ88025.1,XP_012164807.1,2e-22
KMQ88026.1,XP_003393140.1,0.0
KMQ88027.1,XP_012164318.1,2e-95
KMQ88028.1,XP_012174528.1,9e-11
KMQ88029.1,XP_003397719.1,4e-05
KMQ88031.1,XP_012175060.1,7e-33
KMQ88032.1,XP_012175060.1,7e-51
KMQ88036.1,XP_003393379.1,2e-93
KMQ88037.1,XP_003393379.1,0.0
KMQ88039.1,XP_012174539.1,0.0
KMQ88040.1,XP_003393172.1,6e-56
KMQ88041.1,XP_012170675.1,9e-135
KMQ88041.1,XP_012170675.1,5e-48
KMQ88041.1,XP_012170675.1,7e-10
KMQ88041.1,XP_012170675.1,9e-09
KMQ88041.1,XP_012170675.1,4e-05
KMQ88042.1,XP_012174000.1,7e-36
KMQ88045.1,XP_012172861.1,1e-06
KMQ88046.1,XP_003398686.1,0.0
KMQ88052.1,XP_003399441.1,2e-12
KMQ88053.1,XP_012171989.1,3e-32
KMQ88054.1,XP_012172982.1,1e-42
KMQ88056.1,XP_012174539.1,7e-48
KMQ88057.1,XP_012175449.1,3e-43
KMQ88058.1,XP_012164720.1,2e-06
KMQ88059.1,XP_012171921.1,1e-26
KMQ88063.1,XP_012173829.1,2e-101
KMQ88064.1,XP_012168776.1,2e-05
KMQ88066.1,XP_012175836.1,4e-91
KMQ88067.1,XP_012171921.1,1e-26
KMQ88071.1,XP_012165295.1,0.0
KMQ88072.1,XP_012168120.1,7e-103
KMQ88073.1,XP_012175519.1,4e-15
KMQ88074.1,XP_012175533.1,7e-05
KMQ88078.1,XP_012170196.1,3e-37
KMQ88079.1,XP_012168232.1,1e-41
KMQ88080.1,XP_003398377.1,0.0
KMQ88081.1,XP_012176065.1,2e-161
KMQ88081.1,XP_012176065.1,1e-46
KMQ88083.1,XP_012176306.1,6e-31
KMQ88084.1,XP_012168080.1,4e-18
KMQ88090.1,XP_012174539.1,0.0
KMQ88092.1,XP_012175336.1,2e-46
KMQ88095.1,XP_012175268.1,4e-07
KMQ88096.1,XP_012174528.1,9e-18
KMQ88097.1,XP_012173831.1,7e-27
KMQ88102.1,XP_012173200.1,3e-177
KMQ88105.1,XP_012176307.1,6e-87
KMQ88106.1,XP_003402031.1,2e-06
KMQ88107.1,XP_012174506.1,0.0
KMQ88107.1,XP_012174506.1,2e-74
KMQ88108.1,XP_003401496.1,3e-140
KMQ88110.1,XP_012174612.1,2e-25
KMQ88113.1,XP_003400033.1,0.0
KMQ88114.1,XP_012174528.1,4e-23
KMQ88117.1,XP_012173997.1,2e-30
KMQ88118.1,XP_012169488.1,3e-08
KMQ88121.1,XP_012168818.1,0.0
KMQ88122.1,XP_012164780.1,6e-51
KMQ88124.1,XP_012174539.1,1e-140
KMQ88125.1,XP_012169789.1,1e-43
KMQ88126.1,XP_003400095.1,5e-09
KMQ88128.1,XP_003396786.2,0.0
KMQ88129.1,XP_003396778.1,2e-117
KMQ88130.1,XP_003402031.1,3e-05
KMQ88131.1,XP_012174900.1,8e-28
KMQ88133.1,XP_012173829.1,8e-43
KMQ88135.1,XP_012171986.1,3e-38
KMQ88136.1,XP_012174539.1,0.0
KMQ88137.1,XP_012163751.1,0.0
KMQ88140.1,XP_012172982.1,5e-51
KMQ88142.1,XP_003397585.2,1e-99
KMQ88143.1,XP_003396386.1,2e-05
KMQ88145.1,XP_012173372.1,0.0
KMQ88145.1,XP_012173372.1,2e-23
KMQ88145.1,XP_012173372.1,3e-20
KMQ88145.1,XP_012173372.1,3e-09
KMQ88146.1,XP_012166717.1,8e-20
KMQ88146.1,XP_012166717.1,2e-10
KMQ88147.1,XP_012168080.1,3e-72
KMQ88148.1,XP_012174005.1,2e-25
KMQ88149.1,XP_012171880.1,0.0
KMQ88151.1,XP_003395271.1,2e-81
KMQ88152.1,XP_012176083.1,1e-24
KMQ88155.1,XP_012165998.1,4e-12
KMQ88156.1,XP_012168073.1,1e-172
KMQ88157.1,XP_012168071.1,2e-124
KMQ88158.1,XP_012168080.1,7e-36
KMQ88159.1,XP_012176099.1,1e-07
KMQ88160.1,XP_012170162.1,1e-126
KMQ88161.1,XP_012175578.1,2e-112
KMQ88161.1,XP_012175578.1,3e-18
KMQ88162.1,XP_012174517.1,0.0
KMQ88163.1,XP_012174870.1,1e-34
KMQ88167.1,XP_012164720.1,4e-48
KMQ88170.1,XP_012175449.1,3e-84
KMQ88171.1,XP_003398373.1,0.0
KMQ88174.1,XP_012170163.1,2e-48
KMQ88175.1,XP_012170845.1,0.0
KMQ88176.1,XP_003395640.1,1e-153
KMQ88180.1,XP_003396391.1,9e-43
KMQ88181.1,XP_012174005.1,2e-16
KMQ88183.1,XP_003398987.1,0.0
KMQ88184.1,XP_012170433.1,3e-93
KMQ88185.1,XP_003400613.1,0.0
KMQ88188.1,XP_012166069.1,1e-164
KMQ88190.1,XP_012171090.1,4e-99
KMQ88193.1,XP_012175078.1,2e-25
KMQ88194.1,XP_003397895.1,0.0
KMQ88196.1,XP_003394272.1,0.0
KMQ88197.1,XP_003399522.1,4e-140
KMQ88200.1,XP_012175449.1,2e-59
KMQ88201.1,XP_012174539.1,2e-123
KMQ88202.1,XP_003399753.1,0.0
KMQ88202.1,XP_003399753.1,5e-10
KMQ88202.1,XP_003399753.1,2e-08
KMQ88203.1,XP_012176000.1,0.0
KMQ88206.1,XP_012164993.1,0.0
KMQ88207.1,XP_003396689.1,1e-94
KMQ88209.1,XP_003398424.1,1e-10
KMQ88211.1,XP_012168967.1,1e-41
KMQ88213.1,XP_003394441.1,2e-122
KMQ88214.1,XP_012167398.1,4e-99
KMQ88215.1,XP_003396764.1,0.0
KMQ88216.1,XP_003392863.1,9e-73
KMQ88217.1,XP_012167187.1,1e-29
KMQ88218.1,XP_012173997.1,1e-10
KMQ88219.1,XP_012171989.1,3e-08
KMQ88221.1,XP_012174214.1,7e-22
KMQ88222.1,XP_012173830.1,7e-42
KMQ88223.1,XP_012173830.1,2e-64
KMQ88225.1,XP_012174211.1,2e-24
KMQ88226.1,XP_012172982.1,3e-11
KMQ88227.1,XP_012168654.1,0.0
KMQ88228.1,XP_012176150.1,3e-61
KMQ88229.1,XP_012169319.1,2e-33
KMQ88230.1,XP_003400847.1,7e-32
KMQ88232.1,XP_012164318.1,8e-105
KMQ88233.1,XP_003392968.1,1e-83
KMQ88234.1,XP_012164720.1,7e-65
KMQ88235.1,XP_003395409.2,9e-38
KMQ88236.1,XP_012175140.1,4e-176
KMQ88237.1,XP_012172043.1,2e-51
KMQ88238.1,XP_003395919.1,2e-94
KMQ88239.1,XP_012163271.1,0.0
KMQ88239.1,XP_012163271.1,9e-06
KMQ88240.1,XP_003393805.1,0.0
KMQ88241.1,XP_012176234.1,6e-07
KMQ88242.1,XP_012176234.1,1e-08
KMQ88244.1,XP_012173004.1,0.0
KMQ88245.1,XP_003398828.1,8e-120
KMQ88247.1,XP_012174539.1,2e-170
KMQ88248.1,XP_012174539.1,1e-75
KMQ88251.1,XP_012171986.1,3e-33
KMQ88252.1,XP_012170121.1,3e-50
KMQ88253.1,XP_003403387.2,1e-138
KMQ88254.1,XP_012172379.1,0.0
KMQ88255.1,XP_012174348.1,3e-28
KMQ88258.1,XP_003393082.1,2e-144
KMQ88260.1,XP_012164720.1,5e-15
KMQ88261.1,XP_003396739.1,0.0
KMQ88262.1,XP_003396739.1,0.0
KMQ88263.1,XP_003400548.1,0.0
KMQ88264.1,XP_012163341.1,5e-13
KMQ88264.1,XP_012163341.1,8e-08
KMQ88265.1,XP_012164219.1,3e-95
KMQ88267.1,XP_003399090.1,0.0
KMQ88268.1,XP_003401572.1,4e-146
KMQ88271.1,XP_012175617.1,0.0
KMQ88275.1,XP_012173830.1,9e-55
KMQ88275.1,XP_012173830.1,5e-25
KMQ88275.1,XP_012173830.1,7e-10
KMQ88276.1,XP_012164267.1,0.0
KMQ88277.1,XP_012169477.1,0.0
KMQ88277.1,XP_012169477.1,3e-37
KMQ88278.1,XP_003399352.1,2e-67
KMQ88279.1,XP_012164787.1,3e-52
KMQ88279.1,XP_012164787.1,4e-21
KMQ88280.1,XP_003396161.1,9e-93
KMQ88282.1,XP_012166939.1,9e-23
KMQ88283.1,XP_012172135.1,6e-100
KMQ88284.1,XP_012167997.1,0.0
KMQ88285.1,XP_012169221.1,0.0
KMQ88286.1,XP_003399190.1,0.0
KMQ88289.1,XP_012175169.1,8e-59
KMQ88292.1,XP_012174699.1,5e-17
KMQ88296.1,XP_003403208.1,0.0
KMQ88297.1,XP_003403209.1,2e-126
KMQ88298.1,XP_003399879.1,0.0
KMQ88299.1,XP_012174411.1,1e-26
KMQ88300.1,XP_012171369.1,2e-05
KMQ88301.1,XP_012171986.1,7e-20
KMQ88302.1,XP_012174539.1,0.0
KMQ88303.1,XP_012174539.1,0.0
KMQ88304.1,XP_012169144.1,0.0
KMQ88305.1,XP_012168120.1,9e-53
KMQ88306.1,XP_012174528.1,8e-09
KMQ88309.1,XP_003395174.1,1e-06
KMQ88310.1,XP_003401842.1,6e-89
KMQ88311.1,XP_012174539.1,0.0
KMQ88312.1,XP_012164444.1,7e-12
KMQ88313.1,XP_012164602.1,0.0
KMQ88318.1,XP_012168080.1,1e-15
KMQ88320.1,XP_012175449.1,2e-103
KMQ88321.1,XP_003392888.1,9e-91
KMQ88322.1,XP_012168773.1,0.0
KMQ88324.1,XP_012174411.1,4e-19
KMQ88325.1,XP_012167607.1,0.0
KMQ88326.1,XP_012172194.1,0.0
KMQ88327.1,XP_012174699.1,7e-14
KMQ88329.1,XP_012175340.1,4e-12
KMQ88332.1,XP_012169887.1,4e-41
KMQ88335.1,XP_012168003.1,1e-36
KMQ88335.1,XP_012168003.1,4e-10
KMQ88335.1,XP_012168003.1,8e-10
KMQ88335.1,XP_012168003.1,4e-06
KMQ88336.1,XP_003394970.1,0.0
KMQ88337.1,XP_003398279.1,1e-74
KMQ88338.1,XP_012168080.1,4e-24
KMQ88339.1,XP_012168080.1,5e-17
KMQ88340.1,XP_012174411.1,4e-07
KMQ88344.1,XP_003402024.1,2e-10
KMQ88345.1,XP_003395186.1,2e-159
KMQ88346.1,XP_012170821.1,6e-125
KMQ88349.1,XP_012163803.1,1e-52
KMQ88351.1,XP_012169713.1,7e-124
KMQ88353.1,XP_003396396.1,9e-126
KMQ88354.1,XP_003396396.1,2e-39
KMQ88355.1,XP_003396185.1,0.0
KMQ88355.1,XP_003396185.1,5e-07
KMQ88356.1,XP_003400593.1,2e-158
KMQ88358.1,XP_012175815.1,8e-43
KMQ88359.1,XP_012164720.1,0.0
KMQ88359.1,XP_012164720.1,8e-39
KMQ88360.1,XP_012164720.1,3e-11
KMQ88361.1,XP_012168080.1,4e-12
KMQ88362.1,XP_003401106.1,0.0
KMQ88364.1,XP_012168011.1,0.0
KMQ88368.1,XP_012174905.1,4e-10
KMQ88369.1,XP_003394728.1,9e-73
KMQ88370.1,XP_003401446.1,3e-66
KMQ88373.1,XP_012176005.1,1e-23
KMQ88374.1,XP_012176000.1,3e-111
KMQ88375.1,XP_012176000.1,5e-103
KMQ88376.1,XP_012174539.1,4e-122
KMQ88379.1,XP_012174528.1,4e-11
KMQ88379.1,XP_012174528.1,4e-09
KMQ88380.1,XP_003400222.1,6e-86
KMQ88383.1,XP_012174357.1,5e-51
KMQ88384.1,XP_003394345.1,0.0
KMQ88385.1,XP_003398560.1,5e-169
KMQ88386.1,XP_012173829.1,6e-129
KMQ88387.1,XP_012174870.1,1e-25
KMQ88388.1,XP_012176290.1,5e-15
KMQ88390.1,XP_012173700.1,2e-38
KMQ88390.1,XP_012173700.1,7e-08
KMQ88391.1,XP_012167340.1,9e-75
KMQ88394.1,XP_012175449.1,2e-95
KMQ88395.1,XP_003402277.1,3e-139
KMQ88396.1,XP_012173997.1,3e-30
KMQ88397.1,XP_003393648.1,6e-118
KMQ88397.1,XP_003393648.1,7e-36
KMQ88398.1,XP_012169038.1,4e-47
KMQ88401.1,XP_012169369.1,0.0
KMQ88403.1,XP_012165293.1,0.0
KMQ88404.1,XP_003399354.1,5e-106
KMQ88406.1,XP_003401978.1,1e-152
KMQ88408.1,XP_003393938.1,0.0
KMQ88410.1,XP_012168080.1,3e-12
KMQ88411.1,XP_003396157.1,1e-74
KMQ88412.1,XP_012170585.1,1e-43
KMQ88413.1,XP_012171126.1,1e-77
KMQ88413.1,XP_012171126.1,2e-18
KMQ88413.1,XP_012171126.1,5e-13
KMQ88413.1,XP_012171126.1,4e-11
KMQ88414.1,XP_012174528.1,6e-20
KMQ88415.1,XP_012174528.1,6e-20
