lf,am,evalue
TRINITY_DN11100_c0_g1_i1|m.41540,XP_003396489.1,1e-125
TRINITY_DN11102_c0_g1_i1|m.41700,XP_012163902.1,0.0
TRINITY_DN11104_c0_g1_i1|m.41633,XP_012170555.1,0.0
TRINITY_DN11107_c0_g1_i1|m.41579,XP_012170993.1,0.0
TRINITY_DN11109_c0_g1_i1|m.41466,XP_003400395.1,0.0
TRINITY_DN11110_c0_g1_i1|m.41699,XP_003395953.1,3e-93
TRINITY_DN11111_c0_g2_i1|m.41697,XP_012176118.1,1e-149
TRINITY_DN11112_c0_g1_i1|m.41425,XP_012172899.1,2e-135
TRINITY_DN11114_c0_g1_i1|m.41590,XP_012166806.1,2e-96
TRINITY_DN11114_c0_g1_i1|m.41589,XP_003397397.1,0.0
TRINITY_DN11114_c0_g1_i1|m.41591,XP_012166807.1,3e-58
TRINITY_DN11115_c0_g1_i1|m.41526,XP_012164030.1,0.0
TRINITY_DN11116_c0_g1_i1|m.41458,XP_012174084.1,0.0
TRINITY_DN11117_c0_g2_i1|m.41490,XP_012173045.1,9e-102
TRINITY_DN11118_c1_g1_i1|m.41383,XP_003395801.1,0.0
TRINITY_DN11118_c1_g1_i1|m.41383,XP_003395801.1,2e-12
TRINITY_DN11121_c0_g1_i1|m.41414,XP_003394984.1,0.0
TRINITY_DN11122_c0_g1_i1|m.41621,XP_003400599.1,0.0
TRINITY_DN11123_c0_g3_i1|m.41570,XP_012169342.1,1e-127
TRINITY_DN11123_c0_g3_i1|m.41571,XP_012169340.1,1e-20
TRINITY_DN11125_c0_g2_i1|m.41615,XP_012168748.1,9e-53
TRINITY_DN11125_c0_g3_i1|m.41616,XP_012168748.1,1e-52
TRINITY_DN11125_c0_g4_i1|m.41617,XP_012168749.1,0.0
TRINITY_DN11126_c0_g1_i1|m.41516,XP_012175088.1,8e-56
TRINITY_DN11126_c0_g2_i1|m.41521,XP_012175088.1,4e-122
TRINITY_DN11127_c0_g1_i1|m.41659,XP_003395141.1,2e-113
TRINITY_DN11127_c0_g1_i1|m.41658,XP_003395132.1,3e-137
TRINITY_DN11130_c0_g1_i1|m.41575,XP_012165297.1,0.0
TRINITY_DN11131_c0_g1_i1|m.41644,XP_012168449.1,0.0
TRINITY_DN11132_c2_g1_i1|m.41587,XP_003396140.1,2e-58
TRINITY_DN11134_c0_g1_i1|m.41366,XP_003394577.1,0.0
TRINITY_DN11135_c0_g1_i1|m.41595,XP_012169126.1,1e-32
TRINITY_DN11136_c0_g1_i1|m.41725,XP_003394069.1,1e-71
TRINITY_DN11137_c0_g1_i1|m.41640,XP_003402119.1,2e-100
TRINITY_DN11137_c0_g1_i1|m.41640,XP_003402119.1,2e-63
TRINITY_DN11138_c0_g2_i1|m.41543,XP_012174804.1,0.0
TRINITY_DN11139_c0_g1_i1|m.41598,XP_003402271.1,4e-25
TRINITY_DN11139_c0_g2_i1|m.41599,XP_003402271.1,5e-16
TRINITY_DN11140_c0_g1_i1|m.41639,XP_012176065.1,2e-30
TRINITY_DN11141_c0_g1_i1|m.41560,XP_012165038.1,0.0
TRINITY_DN11142_c0_g1_i1|m.41636,XP_012171298.1,2e-53
TRINITY_DN11142_c0_g1_i1|m.41635,XP_012171308.1,1e-111
TRINITY_DN11144_c0_g1_i1|m.41433,XP_003394119.1,0.0
TRINITY_DN11145_c0_g1_i1|m.41522,XP_012173844.1,6e-28
TRINITY_DN11145_c0_g1_i1|m.41522,XP_012173844.1,4e-22
TRINITY_DN11145_c0_g1_i1|m.41522,XP_012173844.1,9e-17
TRINITY_DN11147_c0_g1_i1|m.41712,XP_012165873.1,0.0
TRINITY_DN11148_c0_g1_i1|m.41482,XP_003398705.1,0.0
TRINITY_DN11149_c0_g1_i1|m.41411,XP_012165932.1,0.0
TRINITY_DN11151_c0_g1_i1|m.41492,XP_012174382.1,0.0
TRINITY_DN11152_c0_g1_i1|m.41435,XP_012168842.1,0.0
TRINITY_DN11153_c0_g1_i1|m.41419,XP_012172354.1,7e-108
TRINITY_DN11156_c0_g3_i1|m.41597,XP_003392905.2,2e-43
TRINITY_DN11157_c0_g1_i1|m.41429,XP_003397931.1,3e-145
TRINITY_DN11161_c0_g1_i1|m.41601,XP_012168689.1,0.0
TRINITY_DN11163_c0_g1_i1|m.41527,XP_012168332.1,5e-128
TRINITY_DN11163_c1_g1_i1|m.41528,XP_003398876.1,0.0
TRINITY_DN11163_c1_g1_i1|m.41528,XP_003398876.1,6e-11
TRINITY_DN11163_c1_g1_i1|m.41528,XP_003398876.1,4e-05
TRINITY_DN11163_c1_g2_i1|m.41529,XP_012171088.1,0.0
TRINITY_DN11163_c2_g1_i1|m.41531,XP_012169671.1,0.0
TRINITY_DN11163_c3_g1_i1|m.41537,XP_003398876.1,8e-71
TRINITY_DN11163_c3_g1_i1|m.41537,XP_003398876.1,2e-08
TRINITY_DN11163_c3_g1_i1|m.41537,XP_003398876.1,5e-07
TRINITY_DN11164_c0_g1_i1|m.41380,XP_003399968.1,0.0
TRINITY_DN11165_c0_g1_i1|m.41426,XP_012165385.1,2e-177
TRINITY_DN11167_c0_g1_i1|m.41669,XP_012167269.1,2e-103
TRINITY_DN11167_c0_g1_i1|m.41668,XP_012167264.1,1e-173
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,0.0
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,5e-169
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,8e-156
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,5e-155
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,7e-153
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,8e-139
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,1e-95
TRINITY_DN11168_c0_g1_i1|m.41653,XP_012163581.1,1e-71
TRINITY_DN11169_c0_g1_i1|m.41525,XP_012175430.1,5e-76
TRINITY_DN11169_c0_g1_i1|m.41524,XP_003403370.2,9e-176
TRINITY_DN11171_c0_g1_i1|m.41539,XP_003402884.1,4e-119
TRINITY_DN11172_c0_g1_i1|m.41645,XP_012173405.1,2e-127
TRINITY_DN11172_c0_g1_i1|m.41646,XP_012173465.1,0.0
TRINITY_DN11173_c0_g1_i1|m.41495,XP_012171804.1,2e-89
TRINITY_DN11173_c0_g1_i1|m.41494,XP_012171804.1,1e-133
TRINITY_DN11175_c0_g1_i1|m.41437,XP_012174737.1,0.0
TRINITY_DN11176_c1_g3_i1|m.41371,XP_012168295.1,5e-180
TRINITY_DN11177_c0_g1_i1|m.41583,XP_003402397.2,3e-136
TRINITY_DN11178_c0_g1_i1|m.41447,XP_012163667.1,2e-80
TRINITY_DN11178_c0_g1_i1|m.41446,XP_003402383.1,6e-84
TRINITY_DN11179_c0_g1_i1|m.41666,XP_003397806.1,3e-41
TRINITY_DN11182_c0_g1_i1|m.41474,XP_003398873.1,1e-39
TRINITY_DN11182_c0_g1_i1|m.41473,XP_012168841.1,3e-139
TRINITY_DN11185_c0_g1_i1|m.41744,XP_012171190.1,0.0
TRINITY_DN11186_c0_g1_i1|m.41412,XP_012173148.1,0.0
TRINITY_DN11187_c0_g1_i1|m.41565,XP_003394797.1,2e-154
TRINITY_DN11189_c0_g1_i1|m.41727,XP_012169960.1,0.0
TRINITY_DN11192_c0_g1_i1|m.41714,XP_003403410.2,3e-158
TRINITY_DN11193_c0_g1_i1|m.41450,XP_012174181.1,0.0
TRINITY_DN11194_c0_g1_i1|m.41649,XP_012173708.1,4e-70
TRINITY_DN11194_c0_g1_i1|m.41648,XP_012173705.1,1e-76
TRINITY_DN11195_c0_g1_i1|m.41626,XP_003393077.1,6e-26
TRINITY_DN11195_c0_g1_i1|m.41625,XP_003402610.1,4e-48
TRINITY_DN11196_c0_g1_i1|m.41480,XP_012168963.1,0.0
TRINITY_DN11199_c0_g1_i1|m.41722,XP_012165179.1,2e-156
TRINITY_DN11199_c0_g2_i1|m.41723,XP_003393251.1,5e-148
TRINITY_DN11200_c0_g1_i1|m.8572,XP_003399285.1,2e-163
TRINITY_DN11201_c0_g1_i1|m.8715,XP_003394611.1,0.0
TRINITY_DN11202_c0_g2_i1|m.8570,XP_003400989.1,6e-159
TRINITY_DN11203_c0_g2_i1|m.8613,XP_003396644.1,9e-117
TRINITY_DN11205_c0_g1_i1|m.8923,XP_003395692.1,0.0
TRINITY_DN11206_c0_g2_i1|m.8737,XP_012167116.1,0.0
TRINITY_DN11206_c0_g2_i1|m.8737,XP_012167116.1,9e-18
TRINITY_DN11206_c0_g2_i1|m.8737,XP_012167116.1,2e-13
TRINITY_DN11206_c0_g2_i1|m.8737,XP_012167116.1,7e-06
TRINITY_DN11207_c0_g1_i1|m.8575,XP_003401534.1,0.0
TRINITY_DN11208_c0_g1_i1|m.8590,XP_003398682.1,1e-109
TRINITY_DN11208_c0_g2_i1|m.8591,XP_003398682.1,3e-128
TRINITY_DN11209_c0_g2_i1|m.8781,XP_012164559.1,7e-90
TRINITY_DN11211_c0_g1_i1|m.8665,XP_003397895.1,0.0
TRINITY_DN11212_c0_g1_i1|m.8919,XP_012171180.1,0.0
TRINITY_DN11212_c0_g1_i1|m.8919,XP_012171180.1,6e-28
TRINITY_DN11212_c0_g1_i1|m.8919,XP_012171180.1,5e-20
TRINITY_DN11212_c0_g1_i1|m.8919,XP_012171180.1,9e-19
TRINITY_DN11212_c0_g1_i1|m.8919,XP_012171180.1,2e-11
TRINITY_DN11213_c0_g1_i1|m.8973,XP_003400983.1,0.0
TRINITY_DN11214_c0_g1_i1|m.8700,XP_003397839.1,5e-77
TRINITY_DN11215_c0_g1_i1|m.8869,XP_003396702.2,0.0
TRINITY_DN11215_c0_g1_i1|m.8869,XP_003396702.2,1e-73
TRINITY_DN11217_c0_g1_i1|m.8761,XP_012163781.1,0.0
TRINITY_DN11217_c0_g1_i1|m.8761,XP_012163781.1,9e-63
TRINITY_DN11217_c0_g1_i1|m.8761,XP_012163781.1,2e-61
TRINITY_DN11217_c0_g1_i1|m.8761,XP_012163781.1,1e-34
TRINITY_DN11218_c0_g5_i1|m.8974,XP_003400397.2,1e-133
TRINITY_DN11219_c0_g1_i1|m.8633,XP_003401025.1,0.0
TRINITY_DN11220_c0_g1_i1|m.8789,XP_003402535.2,4e-79
TRINITY_DN11220_c0_g1_i1|m.8788,XP_003402534.1,2e-99
TRINITY_DN11220_c0_g1_i1|m.8790,XP_003402534.1,2e-83
TRINITY_DN11221_c0_g1_i1|m.8662,XP_003402214.1,0.0
TRINITY_DN11222_c0_g1_i1|m.8807,XP_003400757.1,6e-118
TRINITY_DN11225_c0_g1_i1|m.8965,XP_012166749.1,2e-105
TRINITY_DN11227_c0_g1_i1|m.8607,XP_003393820.1,4e-86
TRINITY_DN11227_c0_g1_i1|m.8608,XP_003393820.1,3e-45
TRINITY_DN11228_c0_g1_i1|m.8583,XP_012172976.1,4e-36
TRINITY_DN1122_c0_g2_i1|m.34364,XP_003403162.1,2e-94
TRINITY_DN11230_c0_g1_i1|m.8631,XP_003393700.1,0.0
TRINITY_DN11231_c0_g1_i1|m.8928,XP_012176379.1,0.0
TRINITY_DN11232_c0_g1_i1|m.8969,XP_012172352.1,1e-100
TRINITY_DN11233_c0_g1_i1|m.8962,XP_012166882.1,4e-26
TRINITY_DN11236_c0_g1_i1|m.8828,XP_012171362.1,5e-44
TRINITY_DN11237_c0_g1_i1|m.8598,XP_003393878.1,4e-109
TRINITY_DN11237_c0_g1_i1|m.8599,XP_003393878.1,4e-56
TRINITY_DN11238_c0_g1_i1|m.8551,XP_003399499.1,3e-62
TRINITY_DN11239_c0_g1_i1|m.8970,XP_012166862.1,8e-53
TRINITY_DN11241_c0_g1_i1|m.8812,XP_012167601.1,1e-90
TRINITY_DN11242_c0_g1_i1|m.8552,XP_012174342.1,0.0
TRINITY_DN11243_c0_g1_i1|m.8766,XP_012176353.1,6e-103
TRINITY_DN11243_c0_g1_i1|m.8767,XP_012176259.1,3e-80
TRINITY_DN11245_c0_g1_i1|m.8603,XP_012164166.1,0.0
TRINITY_DN11246_c0_g1_i1|m.8972,XP_012169544.1,0.0
TRINITY_DN11248_c0_g1_i1|m.8799,XP_012176526.1,0.0
TRINITY_DN11249_c0_g1_i1|m.8883,XP_012172700.1,0.0
TRINITY_DN11249_c0_g1_i1|m.8884,XP_012172692.1,3e-51
TRINITY_DN11251_c0_g1_i1|m.8668,XP_012165205.1,0.0
TRINITY_DN11252_c0_g1_i1|m.8837,XP_012171288.1,0.0
TRINITY_DN11253_c0_g1_i1|m.8780,XP_012164408.1,0.0
TRINITY_DN11254_c0_g1_i1|m.8832,XP_012175766.1,0.0
TRINITY_DN11256_c0_g1_i1|m.8925,XP_012165612.1,0.0
TRINITY_DN11256_c0_g1_i1|m.8924,XP_012165612.1,0.0
TRINITY_DN11257_c0_g1_i1|m.8729,XP_012175920.1,2e-135
TRINITY_DN11259_c0_g1_i1|m.8872,XP_012171476.1,7e-135
TRINITY_DN11260_c0_g1_i1|m.8679,XP_012175403.1,2e-60
TRINITY_DN11261_c0_g1_i1|m.8830,XP_012175888.1,6e-175
TRINITY_DN11262_c0_g1_i1|m.8873,XP_003400352.2,0.0
TRINITY_DN11264_c0_g1_i1|m.8842,XP_003394653.1,4e-103
TRINITY_DN11264_c0_g1_i1|m.8841,XP_012176477.1,1e-88
TRINITY_DN11265_c0_g2_i1|m.8818,XP_003397307.1,0.0
TRINITY_DN11266_c0_g1_i1|m.8821,XP_003402657.1,0.0
TRINITY_DN11266_c0_g1_i1|m.8822,XP_012174381.1,3e-79
TRINITY_DN11268_c1_g1_i1|m.8559,XP_012173142.1,0.0
TRINITY_DN11269_c0_g1_i1|m.8845,XP_003398780.1,0.0
TRINITY_DN11270_c0_g1_i1|m.8826,XP_012164102.1,0.0
TRINITY_DN11271_c1_g1_i1|m.8879,XP_003394711.1,0.0
TRINITY_DN11272_c0_g1_i1|m.8795,XP_003394240.1,0.0
TRINITY_DN11273_c0_g1_i1|m.8966,XP_012176438.1,0.0
TRINITY_DN11274_c0_g1_i1|m.8701,XP_003397666.1,0.0
TRINITY_DN11274_c0_g1_i1|m.8701,XP_003397666.1,2e-40
TRINITY_DN11274_c0_g2_i1|m.8714,XP_003397666.1,1e-44
TRINITY_DN11275_c0_g1_i1|m.8793,XP_012164756.1,6e-164
TRINITY_DN11276_c0_g1_i1|m.8848,XP_003399015.1,5e-08
TRINITY_DN11278_c0_g1_i1|m.8547,XP_012163512.1,0.0
TRINITY_DN11279_c0_g1_i1|m.8831,XP_012174077.1,3e-48
TRINITY_DN1127_c0_g1_i1|m.34367,XP_012171525.1,1e-172
TRINITY_DN1127_c0_g1_i1|m.34367,XP_012171525.1,1e-05
TRINITY_DN1127_c0_g2_i1|m.34369,XP_012171525.1,1e-172
TRINITY_DN1127_c0_g2_i1|m.34369,XP_012171525.1,1e-05
TRINITY_DN11283_c0_g1_i1|m.8593,XP_003399923.1,1e-55
TRINITY_DN11284_c0_g1_i1|m.8680,XP_012167880.1,3e-171
TRINITY_DN11284_c0_g2_i1|m.8682,XP_003398217.1,0.0
TRINITY_DN11286_c0_g1_i1|m.8690,XP_003399227.1,0.0
TRINITY_DN11286_c0_g1_i1|m.8690,XP_003399227.1,4e-173
TRINITY_DN11286_c0_g1_i1|m.8690,XP_003399227.1,2e-153
TRINITY_DN11286_c0_g1_i1|m.8690,XP_003399227.1,2e-105
TRINITY_DN11286_c0_g1_i1|m.8690,XP_003399227.1,1e-33
TRINITY_DN11288_c0_g1_i1|m.8539,XP_003399660.1,2e-104
TRINITY_DN11288_c0_g1_i1|m.8538,XP_003399660.1,2e-163
TRINITY_DN11290_c0_g1_i1|m.8718,XP_012167055.1,4e-99
TRINITY_DN11290_c0_g1_i1|m.8719,XP_012167057.1,5e-92
TRINITY_DN11292_c0_g1_i1|m.8624,XP_003403324.1,5e-70
TRINITY_DN11293_c0_g1_i1|m.8726,XP_012174992.1,2e-32
TRINITY_DN11294_c0_g1_i1|m.8605,XP_012170829.1,0.0
TRINITY_DN11295_c0_g1_i1|m.8934,XP_012172674.1,0.0
TRINITY_DN11297_c0_g1_i1|m.8587,XP_012164076.1,0.0
TRINITY_DN11297_c1_g1_i1|m.8588,XP_012164075.1,0.0
TRINITY_DN11298_c0_g1_i1|m.8770,XP_003392963.1,9e-101
TRINITY_DN11298_c0_g1_i1|m.8770,XP_003392963.1,3e-07
TRINITY_DN11298_c0_g1_i1|m.8769,XP_003392963.1,1e-147
TRINITY_DN112_c0_g1_i1|m.49557,XP_003403222.1,4e-70
TRINITY_DN11301_c0_g1_i1|m.36461,XP_012163989.1,0.0
TRINITY_DN11301_c1_g1_i1|m.36462,XP_003402426.1,0.0
TRINITY_DN11304_c0_g1_i1|m.36334,XP_012165152.1,1e-40
TRINITY_DN11306_c0_g1_i1|m.36229,XP_003394238.1,2e-50
TRINITY_DN11306_c0_g2_i1|m.36230,XP_003394238.1,9e-93
TRINITY_DN11308_c0_g1_i1|m.36319,XP_003396702.2,2e-60
TRINITY_DN11308_c0_g1_i1|m.36319,XP_003396702.2,5e-37
TRINITY_DN11309_c1_g1_i1|m.36554,XP_012165229.1,0.0
TRINITY_DN1130_c0_g1_i1|m.34362,XP_003393379.1,1e-33
TRINITY_DN11311_c0_g1_i1|m.36219,XP_003399436.1,0.0
TRINITY_DN11314_c0_g2_i1|m.36358,XP_003392984.1,4e-53
TRINITY_DN11314_c0_g5_i1|m.36359,XP_012176065.1,3e-55
TRINITY_DN11316_c0_g1_i1|m.36285,XP_012171725.1,0.0
TRINITY_DN11316_c0_g2_i1|m.36293,XP_012171725.1,3e-65
TRINITY_DN11317_c0_g1_i1|m.36527,XP_012172151.1,9e-71
TRINITY_DN11317_c0_g1_i1|m.36528,XP_012172152.1,2e-77
TRINITY_DN11318_c0_g1_i1|m.36139,XP_003396026.1,0.0
TRINITY_DN11319_c0_g2_i1|m.36348,XP_012169535.1,0.0
TRINITY_DN11320_c0_g1_i1|m.36238,XP_012170714.1,0.0
TRINITY_DN11323_c0_g1_i1|m.36354,XP_012163680.1,0.0
TRINITY_DN11324_c0_g1_i1|m.36506,XP_003392984.1,1e-37
TRINITY_DN11325_c0_g1_i1|m.36155,XP_003394606.1,0.0
TRINITY_DN11327_c0_g1_i1|m.36328,XP_012173272.1,0.0
TRINITY_DN11328_c0_g1_i1|m.36459,XP_003394552.1,0.0
TRINITY_DN11329_c0_g1_i1|m.36216,XP_003398560.1,1e-167
TRINITY_DN1132_c0_g1_i1|m.34363,XP_003394151.1,5e-47
TRINITY_DN11331_c0_g1_i1|m.36508,XP_012166491.1,9e-123
TRINITY_DN11334_c0_g1_i1|m.36456,XP_003398028.1,4e-95
TRINITY_DN11335_c0_g1_i1|m.36294,XP_003399712.1,0.0
TRINITY_DN11336_c0_g3_i1|m.36185,XP_012164557.1,0.0
TRINITY_DN11336_c0_g3_i1|m.36187,XP_012164557.1,5e-60
TRINITY_DN11338_c0_g2_i1|m.36316,XP_012168128.1,7e-70
TRINITY_DN11338_c0_g2_i1|m.36314,XP_012168128.1,5e-156
TRINITY_DN11338_c0_g2_i1|m.36314,XP_012168128.1,9e-05
TRINITY_DN11339_c0_g1_i1|m.36260,XP_003400735.1,9e-167
TRINITY_DN1133_c0_g1_i1|m.34388,XP_003401691.1,3e-37
TRINITY_DN11341_c0_g1_i1|m.36237,XP_003402109.1,0.0
TRINITY_DN11342_c0_g1_i1|m.36257,XP_003394746.1,1e-91
TRINITY_DN11343_c0_g1_i1|m.36522,XP_012167137.1,2e-165
TRINITY_DN11344_c0_g2_i1|m.36302,XP_012165351.1,0.0
TRINITY_DN11346_c0_g1_i1|m.36535,XP_003397030.1,5e-114
TRINITY_DN11347_c0_g1_i1|m.36218,XP_003397538.1,0.0
TRINITY_DN11348_c0_g1_i1|m.36507,XP_003394648.1,6e-70
TRINITY_DN11349_c0_g1_i1|m.36145,XP_012168183.1,0.0
TRINITY_DN11350_c0_g1_i1|m.36344,XP_003394586.1,2e-177
TRINITY_DN11350_c0_g1_i1|m.36343,XP_003394584.1,0.0
TRINITY_DN11352_c0_g1_i1|m.36414,XP_012165441.1,0.0
TRINITY_DN11354_c1_g1_i1|m.36424,XP_012163867.1,3e-74
TRINITY_DN11354_c1_g1_i1|m.36421,XP_012163867.1,0.0
TRINITY_DN11354_c1_g1_i1|m.36423,XP_012163867.1,3e-74
TRINITY_DN11354_c1_g1_i1|m.36422,XP_012163867.1,0.0
TRINITY_DN11354_c1_g2_i1|m.36429,XP_012163867.1,3e-74
TRINITY_DN11354_c1_g2_i1|m.36428,XP_012163868.1,3e-176
TRINITY_DN11354_c1_g2_i1|m.36427,XP_012163867.1,0.0
TRINITY_DN11357_c0_g1_i1|m.36267,XP_003394162.1,9e-135
TRINITY_DN11357_c0_g2_i1|m.36268,XP_003394162.1,9e-135
TRINITY_DN11358_c0_g1_i1|m.36357,XP_003397935.2,0.0
TRINITY_DN11359_c0_g1_i1|m.36469,XP_012173290.1,0.0
TRINITY_DN11360_c1_g2_i1|m.36136,XP_003394976.1,0.0
TRINITY_DN11361_c0_g1_i1|m.36305,XP_012176360.1,0.0
TRINITY_DN11362_c0_g1_i1|m.36472,XP_012164198.1,0.0
TRINITY_DN11362_c0_g1_i1|m.36472,XP_012164198.1,8e-25
TRINITY_DN11362_c0_g1_i1|m.36473,XP_012164200.1,6e-84
TRINITY_DN11362_c0_g1_i1|m.36473,XP_012164200.1,3e-05
TRINITY_DN11364_c0_g1_i1|m.36176,XP_012163145.1,0.0
TRINITY_DN11366_c1_g1_i1|m.36234,XP_012165248.1,0.0
TRINITY_DN11367_c0_g1_i1|m.36100,XP_012174629.1,0.0
TRINITY_DN11368_c0_g1_i1|m.36261,XP_012163603.1,0.0
TRINITY_DN11369_c0_g2_i1|m.36110,XP_012173164.1,0.0
TRINITY_DN11370_c0_g1_i1|m.36220,XP_012168277.1,0.0
TRINITY_DN11370_c0_g2_i1|m.36222,XP_012168280.1,3e-33
TRINITY_DN11370_c0_g2_i1|m.36221,XP_012168280.1,4e-77
TRINITY_DN11371_c0_g1_i1|m.36153,XP_003399503.1,0.0
TRINITY_DN11372_c0_g1_i1|m.36565,XP_003394675.1,0.0
TRINITY_DN11373_c0_g1_i1|m.36529,XP_012172146.1,0.0
TRINITY_DN11374_c0_g1_i1|m.36239,XP_012171768.1,0.0
TRINITY_DN11375_c0_g1_i1|m.36269,XP_012164963.1,1e-56
TRINITY_DN11376_c0_g1_i1|m.36514,XP_012168148.1,0.0
TRINITY_DN11378_c0_g1_i1|m.36505,XP_012176340.1,0.0
TRINITY_DN11379_c0_g1_i1|m.36448,XP_003393766.1,4e-51
TRINITY_DN11380_c0_g1_i1|m.36351,XP_012165907.1,4e-93
TRINITY_DN11381_c0_g1_i1|m.36325,XP_012172068.1,2e-125
TRINITY_DN11381_c0_g1_i1|m.36326,XP_012172068.1,2e-22
TRINITY_DN11382_c1_g1_i1|m.36158,XP_003399363.1,0.0
TRINITY_DN11382_c1_g2_i1|m.36167,XP_012169740.1,2e-49
TRINITY_DN11384_c0_g1_i1|m.36094,XP_012170669.1,1e-28
TRINITY_DN11384_c0_g2_i1|m.36095,XP_012170674.1,4e-129
TRINITY_DN11384_c0_g2_i1|m.36095,XP_012170674.1,3e-08
TRINITY_DN11385_c0_g1_i1|m.36119,XP_012163332.1,0.0
TRINITY_DN11386_c0_g1_i1|m.36091,XP_012174268.1,0.0
TRINITY_DN11387_c0_g1_i1|m.36340,XP_003393630.1,1e-38
TRINITY_DN11388_c0_g1_i1|m.36483,XP_012174854.1,0.0
TRINITY_DN11389_c0_g1_i1|m.36122,XP_012173987.1,6e-11
TRINITY_DN11389_c0_g1_i1|m.36121,XP_012173987.1,5e-31
TRINITY_DN11391_c0_g2_i1|m.36417,XP_003400489.1,0.0
TRINITY_DN11391_c0_g2_i1|m.36417,XP_003400489.1,5e-137
TRINITY_DN11392_c0_g1_i1|m.36170,XP_012166670.1,0.0
TRINITY_DN11393_c0_g1_i1|m.36177,XP_012176661.1,0.0
TRINITY_DN11394_c0_g1_i1|m.36336,XP_003396013.1,0.0
TRINITY_DN11394_c0_g2_i1|m.36338,XP_003396013.1,0.0
TRINITY_DN11397_c0_g1_i1|m.36168,XP_012166572.1,5e-14
TRINITY_DN11397_c0_g2_i1|m.36169,XP_012166572.1,5e-16
TRINITY_DN11398_c0_g1_i1|m.36363,XP_012172192.1,9e-50
TRINITY_DN11398_c0_g1_i1|m.36362,XP_012172192.1,0.0
TRINITY_DN11399_c1_g2_i1|m.36550,XP_003397594.1,0.0
TRINITY_DN11400_c0_g1_i1|m.34804,XP_003395952.1,3e-59
TRINITY_DN11401_c0_g1_i1|m.34929,XP_012172382.1,0.0
TRINITY_DN11402_c0_g1_i1|m.34907,XP_012172594.1,1e-150
TRINITY_DN11405_c0_g1_i1|m.34879,XP_003401094.1,2e-174
TRINITY_DN11407_c0_g1_i1|m.34538,XP_003400850.1,4e-69
TRINITY_DN11408_c1_g1_i1|m.34866,XP_012167578.1,4e-111
TRINITY_DN11408_c1_g2_i1|m.34870,XP_012167579.1,4e-78
TRINITY_DN11408_c1_g2_i1|m.34871,XP_012167579.1,1e-126
TRINITY_DN11409_c0_g1_i1|m.34976,XP_012169553.1,7e-102
TRINITY_DN11409_c0_g1_i1|m.34975,XP_003399430.1,0.0
TRINITY_DN11410_c0_g1_i1|m.34531,XP_012173380.1,0.0
TRINITY_DN11411_c0_g2_i1|m.34880,XP_003402428.1,0.0
TRINITY_DN11413_c0_g1_i1|m.34650,XP_003398861.1,0.0
TRINITY_DN11414_c0_g1_i1|m.34454,XP_003402476.1,0.0
TRINITY_DN11414_c0_g2_i1|m.34462,XP_003402476.1,3e-82
TRINITY_DN11415_c0_g1_i1|m.34959,XP_003395059.1,3e-96
TRINITY_DN11416_c0_g1_i1|m.34940,XP_003394656.1,0.0
TRINITY_DN11416_c0_g1_i1|m.34939,XP_003394656.1,0.0
TRINITY_DN11416_c0_g1_i1|m.34939,XP_003394656.1,4e-08
TRINITY_DN11417_c0_g1_i1|m.34520,XP_012165975.1,0.0
TRINITY_DN11418_c0_g2_i1|m.34806,XP_003400481.1,0.0
TRINITY_DN11419_c0_g1_i1|m.34818,XP_003403111.1,0.0
TRINITY_DN11420_c0_g1_i1|m.34615,XP_003400227.1,5e-151
TRINITY_DN11420_c0_g2_i1|m.34616,XP_003400227.1,0.0
TRINITY_DN11421_c0_g1_i1|m.34877,XP_012169509.1,2e-153
TRINITY_DN11421_c0_g1_i1|m.34877,XP_012169509.1,5e-16
TRINITY_DN11421_c0_g1_i1|m.34877,XP_012169509.1,4e-10
TRINITY_DN11421_c0_g1_i1|m.34877,XP_012169509.1,1e-07
TRINITY_DN11421_c0_g1_i1|m.34877,XP_012169509.1,3e-05
TRINITY_DN11423_c0_g1_i1|m.34965,XP_012163134.1,2e-71
TRINITY_DN11423_c0_g2_i1|m.34966,XP_012163134.1,0.0
TRINITY_DN11425_c0_g1_i1|m.34921,XP_012165264.1,0.0
TRINITY_DN11429_c0_g1_i1|m.34945,XP_003400850.1,7e-20
TRINITY_DN11430_c0_g1_i1|m.34860,XP_012171968.1,0.0
TRINITY_DN11431_c1_g1_i1|m.34707,XP_012175261.1,2e-63
TRINITY_DN11431_c1_g1_i1|m.34707,XP_012175261.1,3e-08
TRINITY_DN11432_c0_g1_i1|m.34494,XP_012171324.1,9e-44
TRINITY_DN11432_c0_g2_i1|m.34495,XP_012171324.1,0.0
TRINITY_DN11433_c0_g1_i1|m.34942,XP_003395423.1,0.0
TRINITY_DN11435_c0_g1_i1|m.34910,XP_003398291.1,3e-26
TRINITY_DN11437_c0_g1_i1|m.34498,XP_012174467.1,0.0
